ID,性別,年齢,年齢バケット,居住地_都道府県,居住地_市区町村
ID_1,女性,50,50代,栃木県,宇都宮市
ID_2,女性,52,50代,茨城県,結城市
ID_3,女性,45,40代,静岡県,浜松市中央区
ID_4,男性,64,60代,栃木県,那須塩原市
ID_5,女性,31,30代,群馬県,館林市
ID_6,男性,30,30代,埼玉県,越谷市
ID_7,女性,50,50代,大阪府,泉南市
ID_8,女性,43,40代,栃木県,宇都宮市
ID_9,女性,43,40代,埼玉県,川越市
ID_10,女性,42,40代,栃木県,栃木市
ID_11,男性,61,60代,栃木県,足利市
ID_12,女性,23,20代,栃木県,那須塩原市
ID_13,女性,64,60代,栃木県,宇都宮市
ID_14,女性,61,60代,群馬県,邑楽郡邑楽町
ID_15,女性,23,20代,群馬県,邑楽郡邑楽町
ID_16,男性,51,50代,茨城県,古河市
ID_17,女性,25,20代,栃木県,小山市
ID_18,女性,57,50代,栃木県,足利市
ID_19,女性,43,40代,群馬県,館林市
ID_20,女性,58,50代,群馬県,桐生市
ID_21,女性,62,60代,茨城県,古河市
ID_22,女性,38,30代,栃木県,栃木市
ID_23,男性,61,60代,栃木県,日光市
ID_24,女性,70,70歳以上,栃木県,小山市
ID_25,女性,53,50代,栃木県,宇都宮市
ID_26,女性,60,60代,埼玉県,加須市
ID_27,女性,46,40代,栃木県,足利市
ID_28,男性,52,50代,埼玉県,久喜市
ID_29,女性,47,40代,群馬県,伊勢崎市
ID_30,女性,49,40代,栃木県,芳賀郡益子町
ID_31,女性,75,70歳以上,栃木県,佐野市
ID_32,女性,48,40代,茨城県,古河市
ID_33,女性,54,50代,栃木県,栃木市
ID_34,女性,46,40代,栃木県,足利市
ID_35,女性,48,40代,栃木県,宇都宮市
ID_36,女性,44,40代,群馬県,太田市
ID_37,女性,39,30代,栃木県,下都賀郡壬生町
ID_38,男性,47,40代,埼玉県,越谷市
ID_39,男性,50,50代,茨城県,古河市
ID_40,男性,51,50代,群馬県,伊勢崎市
ID_41,女性,43,40代,群馬県,邑楽郡大泉町
ID_42,女性,52,50代,福島県,郡山市
ID_43,女性,42,40代,茨城県,つくば市
ID_44,男性,32,30代,栃木県,那須郡那須町
ID_45,女性,57,50代,群馬県,太田市
ID_46,男性,29,20代,群馬県,館林市
ID_47,男性,53,50代,福島県,須賀川市
ID_48,男性,30,30代,栃木県,宇都宮市
ID_49,男性,48,40代,栃木県,日光市
ID_50,男性,39,30代,群馬県,太田市
ID_51,女性,48,40代,栃木県,宇都宮市
ID_52,男性,46,40代,愛媛県,松山市
ID_53,女性,53,50代,栃木県,下都賀郡野木町
ID_54,男性,52,50代,埼玉県,春日部市
ID_55,女性,56,50代,栃木県,小山市
ID_56,男性,55,50代,東京都,中央区
ID_57,女性,26,20代,栃木県,足利市
ID_58,男性,29,20代,栃木県,那須塩原市
ID_59,女性,45,40代,栃木県,宇都宮市
ID_60,女性,31,30代,神奈川県,横浜市青葉区
ID_61,女性,44,40代,福島県,西白河郡西郷村
ID_62,女性,27,20代,茨城県,古河市
ID_63,男性,49,40代,栃木県,宇都宮市
ID_64,男性,70,70歳以上,栃木県,小山市
ID_65,男性,64,60代,群馬県,北群馬郡榛東村
ID_66,女性,24,20代,栃木県,栃木市
ID_67,男性,38,30代,栃木県,宇都宮市
ID_68,女性,70,70歳以上,栃木県,鹿沼市
ID_69,女性,30,30代,茨城県,古河市
ID_70,女性,59,50代,栃木県,佐野市
ID_71,女性,53,50代,群馬県,伊勢崎市
ID_72,男性,43,40代,栃木県,日光市
ID_73,女性,52,50代,茨城県,古河市
ID_74,女性,20,20代,栃木県,那須塩原市
ID_75,男性,51,50代,福島県,福島市
ID_76,男性,46,40代,栃木県,小山市
ID_77,女性,74,70歳以上,群馬県,太田市
ID_78,女性,49,40代,栃木県,河内郡上三川町
ID_79,男性,39,30代,埼玉県,羽生市
ID_80,女性,47,40代,栃木県,日光市
ID_81,女性,60,60代,群馬県,伊勢崎市
ID_82,女性,53,50代,栃木県,足利市
ID_83,女性,34,30代,茨城県,結城市
ID_84,女性,35,30代,栃木県,佐野市
ID_85,女性,37,30代,群馬県,館林市
ID_86,男性,43,40代,千葉県,松戸市
ID_87,女性,45,40代,栃木県,佐野市
ID_88,女性,36,30代,栃木県,宇都宮市
ID_89,男性,50,50代,栃木県,佐野市
ID_90,女性,53,50代,栃木県,佐野市
ID_91,女性,53,50代,栃木県,足利市
ID_92,女性,45,40代,群馬県,伊勢崎市
ID_93,女性,40,40代,栃木県,小山市
ID_94,男性,52,50代,茨城県,つくば市
ID_95,女性,39,30代,栃木県,那須郡那珂川町
ID_96,女性,58,50代,栃木県,宇都宮市
ID_97,男性,44,40代,栃木県,矢板市
ID_98,女性,62,60代,栃木県,足利市
ID_99,女性,60,60代,栃木県,下野市
ID_100,女性,49,40代,栃木県,鹿沼市
ID_101,女性,44,40代,栃木県,真岡市
ID_102,男性,28,20代,栃木県,那須郡那珂川町
ID_103,男性,30,30代,栃木県,小山市
ID_104,女性,23,20代,栃木県,那須塩原市
ID_105,男性,40,40代,群馬県,みどり市
ID_106,女性,32,30代,栃木県,大田原市
ID_107,女性,31,30代,茨城県,古河市
ID_108,男性,51,50代,栃木県,宇都宮市
ID_109,女性,39,30代,栃木県,宇都宮市
ID_110,男性,42,40代,栃木県,那須郡那珂川町
ID_111,女性,44,40代,栃木県,佐野市
ID_112,男性,39,30代,栃木県,足利市
ID_113,女性,51,50代,茨城県,結城市
ID_114,女性,31,30代,栃木県,宇都宮市
ID_115,女性,58,50代,群馬県,館林市
ID_116,女性,53,50代,栃木県,足利市
ID_117,男性,53,50代,栃木県,鹿沼市
ID_118,女性,46,40代,栃木県,宇都宮市
ID_119,男性,29,20代,栃木県,小山市
ID_120,女性,34,30代,栃木県,那須塩原市
ID_121,女性,39,30代,群馬県,館林市
ID_122,女性,19,20代,栃木県,日光市
ID_123,男性,51,50代,茨城県,筑西市
ID_124,女性,36,30代,栃木県,宇都宮市
ID_125,男性,48,40代,群馬県,高崎市
ID_126,女性,29,20代,栃木県,足利市
ID_127,女性,21,20代,埼玉県,三郷市
ID_128,男性,60,60代,福島県,白河市
ID_129,女性,63,60代,福島県,白河市
ID_130,男性,43,40代,栃木県,日光市
ID_131,女性,51,50代,栃木県,宇都宮市
ID_132,男性,42,40代,栃木県,宇都宮市
ID_133,女性,48,40代,栃木県,塩谷郡高根沢町
ID_134,女性,58,50代,埼玉県,加須市
ID_135,女性,42,40代,栃木県,那須郡那須町
ID_136,男性,51,50代,茨城県,古河市
ID_137,女性,55,50代,群馬県,太田市
ID_138,男性,57,50代,茨城県,結城市
ID_139,男性,38,30代,群馬県,藤岡市
ID_140,女性,58,50代,福島県,南会津郡南会津町
ID_141,女性,32,30代,栃木県,宇都宮市
ID_142,女性,62,60代,茨城県,結城市
ID_143,女性,45,40代,栃木県,足利市
ID_144,女性,46,40代,栃木県,宇都宮市
ID_145,女性,37,30代,栃木県,小山市
ID_146,女性,23,20代,群馬県,伊勢崎市
ID_147,男性,54,50代,栃木県,宇都宮市
ID_148,女性,43,40代,栃木県,宇都宮市
ID_149,男性,63,60代,長野県,佐久市
ID_150,男性,41,40代,群馬県,前橋市
ID_151,女性,45,40代,栃木県,宇都宮市
ID_152,男性,49,40代,栃木県,矢板市
ID_153,女性,36,30代,栃木県,小山市
ID_154,女性,33,30代,栃木県,宇都宮市
ID_155,女性,41,40代,栃木県,鹿沼市
ID_156,女性,31,30代,栃木県,宇都宮市
ID_157,女性,49,40代,栃木県,宇都宮市
ID_158,女性,60,60代,栃木県,小山市
ID_159,女性,61,60代,栃木県,下都賀郡野木町
ID_160,男性,59,50代,栃木県,佐野市
ID_161,男性,44,40代,栃木県,足利市
ID_162,女性,51,50代,栃木県,那須塩原市
ID_163,女性,56,50代,栃木県,小山市
ID_164,女性,47,40代,栃木県,塩谷郡高根沢町
ID_165,女性,42,40代,栃木県,那須塩原市
ID_166,女性,31,30代,茨城県,古河市
ID_167,女性,39,30代,栃木県,大田原市
ID_168,男性,48,40代,群馬県,桐生市
ID_169,男性,60,60代,栃木県,宇都宮市
ID_170,女性,46,40代,栃木県,栃木市
ID_171,女性,38,30代,栃木県,那須塩原市
ID_172,女性,34,30代,栃木県,日光市
ID_173,男性,36,30代,群馬県,邑楽郡邑楽町
ID_174,女性,30,30代,埼玉県,春日部市
ID_175,男性,37,30代,茨城県,筑西市
ID_176,男性,46,40代,栃木県,足利市
ID_177,女性,41,40代,栃木県,栃木市
ID_178,男性,44,40代,栃木県,小山市
ID_179,男性,50,50代,栃木県,小山市
ID_180,男性,69,60代,栃木県,日光市
ID_181,女性,57,50代,栃木県,足利市
ID_182,女性,39,30代,栃木県,宇都宮市
ID_183,女性,31,30代,栃木県,宇都宮市
ID_184,男性,51,50代,群馬県,佐波郡玉村町
ID_185,女性,51,50代,栃木県,宇都宮市
ID_186,女性,45,40代,栃木県,宇都宮市
ID_187,女性,46,40代,栃木県,那須郡那須町
ID_188,男性,29,20代,栃木県,鹿沼市
ID_189,女性,28,20代,栃木県,鹿沼市
ID_190,男性,29,20代,栃木県,宇都宮市
ID_191,女性,67,60代,栃木県,宇都宮市
ID_192,女性,20,20代,栃木県,那須塩原市
ID_193,男性,48,40代,埼玉県,久喜市
ID_194,男性,48,40代,栃木県,真岡市
ID_195,女性,47,40代,栃木県,下都賀郡壬生町
