prefecture,municipality,latitude,longitude
京都府,京都市北区,35.0397,135.7556
京都府,京都市上京区,35.0307,135.7489
京都府,京都市左京区,35.0456,135.7830
京都府,京都市中京区,35.0063,135.7561
京都府,京都市東山区,34.9963,135.7774
京都府,京都市下京区,34.9872,135.7575
京都府,京都市南区,34.9796,135.7478
京都府,京都市右京区,35.0152,135.7117
京都府,京都市伏見区,34.9327,135.7656
京都府,京都市山科区,34.9777,135.8172
京都府,京都市西京区,34.9843,135.6959
京都府,宇治市,34.8842,135.7991
京都府,亀岡市,35.0139,135.5739
京都府,城陽市,34.8524,135.7799
京都府,向日市,34.9479,135.6984
京都府,長岡京市,34.9268,135.6959
京都府,八幡市,34.8733,135.7095
京都府,京田辺市,34.8140,135.7691
京都府,木津川市,34.7367,135.8200
京都府,福知山市,35.2971,135.1253
京都府,舞鶴市,35.4745,135.3863
京都府,南丹市,35.1087,135.4687
京都府,相楽郡精華町,34.7605,135.7831
京都府,乙訓郡大山崎町,34.8965,135.6846
京都府,久世郡久御山町,34.8889,135.7500
大阪府,大阪市北区,34.7024,135.5023
大阪府,大阪市中央区,34.6841,135.5123
大阪府,大阪市淀川区,34.7137,135.4808
大阪府,大阪市東淀川区,34.7291,135.5290
大阪府,大阪市都島区,34.7036,135.5311
大阪府,大阪市城東区,34.6961,135.5451
大阪府,大阪市生野区,34.6619,135.5262
大阪府,大阪市平野区,34.6197,135.5543
大阪府,枚方市,34.8141,135.6513
大阪府,高槻市,34.8466,135.6166
大阪府,茨木市,34.8166,135.5683
大阪府,寝屋川市,34.7663,135.6276
大阪府,吹田市,34.7614,135.5155
大阪府,豊中市,34.7814,135.4693
大阪府,東大阪市,34.6794,135.6006
大阪府,守口市,34.7383,135.5620
大阪府,交野市,34.7875,135.6801
滋賀県,大津市,35.0047,135.8686
滋賀県,草津市,35.0171,135.9591
滋賀県,守山市,35.0586,135.9935
奈良県,奈良市,34.6851,135.8050
奈良県,生駒市,34.6915,135.7004
