カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
prefecture,12705,48,8,DESCRIPTIVE,なし（観察的記述）
municipality,18048,1900,1,DESCRIPTIVE,なし（観察的記述）
location_key,1888,944,2,DESCRIPTIVE,なし（観察的記述）
applicant_count,18095,230,1,DESCRIPTIVE,なし（観察的記述）
applicant_id,65071,7487,1,DESCRIPTIVE,なし（観察的記述）
age,40661,72,3,DESCRIPTIVE,なし（観察的記述）
gender,60424,2,25283,DESCRIPTIVE,なし（観察的記述）
age_group,27436,6,2049,DESCRIPTIVE,なし（観察的記述）
residence_prefecture,15539,44,4,DESCRIPTIVE,なし（観察的記述）
residence_municipality,7470,306,1,DESCRIPTIVE,なし（観察的記述）
desired_area_count,7487,69,1,DESCRIPTIVE,なし（観察的記述）
qualification_count,7487,16,1,DESCRIPTIVE,なし（観察的記述）
has_national_license,20448,2,2394,DESCRIPTIVE,なし（観察的記述）
qualifications,5212,724,1,DESCRIPTIVE,なし（観察的記述）
desired_workstyle,7413,50,1,DESCRIPTIVE,なし（観察的記述）
desired_start,2743,1934,1,DESCRIPTIVE,なし（観察的記述）
desired_job,7487,2371,1,DESCRIPTIVE,なし（観察的記述）
career,7622,1627,4,DESCRIPTIVE,なし（観察的記述）
employment_status,15050,3,1027,DESCRIPTIVE,なし（観察的記述）
status,312,2,2,DESCRIPTIVE,なし（観察的記述）
member_id,7487,7484,1,DESCRIPTIVE,なし（観察的記述）
desired_prefecture,24410,47,5,DESCRIPTIVE,なし（観察的記述）
desired_municipality,23360,897,1,DESCRIPTIVE,なし（観察的記述）
desired_location_full,24410,944,1,DESCRIPTIVE,なし（観察的記述）
avg_age,43281,2346,1,DESCRIPTIVE,なし（観察的記述）
male_count,944,76,1,DESCRIPTIVE,なし（観察的記述）
female_count,944,74,1,DESCRIPTIVE,なし（観察的記述）
avg_qualifications,12446,729,1,DESCRIPTIVE,なし（観察的記述）
latitude,7725,92,6,DESCRIPTIVE,なし（観察的記述）
longitude,7725,92,6,DESCRIPTIVE,なし（観察的記述）
target_municipality,22784,944,1,DESCRIPTIVE,なし（観察的記述）
count,29617,303,1,DESCRIPTIVE,なし（観察的記述）
employment_rate,22820,364,1,DESCRIPTIVE,なし（観察的記述）
top_qualifications,7659,462,1,DESCRIPTIVE,なし（観察的記述）
municipality_count,44,16,1,DESCRIPTIVE,なし（観察的記述）
qualification_name,15194,462,1,DESCRIPTIVE,なし（観察的記述）
is_national_license,462,2,11,DESCRIPTIVE,なし（観察的記述）
urgency_rank,48,4,12,DESCRIPTIVE,なし（観察的記述）
avg_urgency_score,5592,656,1,DESCRIPTIVE,なし（観察的記述）
location,17269,966,3,DESCRIPTIVE,なし（観察的記述）
20代,1631,11,1,DESCRIPTIVE,なし（観察的記述）
30代,1631,13,1,DESCRIPTIVE,なし（観察的記述）
40代,1631,15,1,DESCRIPTIVE,なし（観察的記述）
50代,1631,14,1,DESCRIPTIVE,なし（観察的記述）
60代,1631,11,1,DESCRIPTIVE,なし（観察的記述）
70歳以上,1631,8,1,DESCRIPTIVE,なし（観察的記述）
在学中,4,4,1,DESCRIPTIVE,なし（観察的記述）
就業中,4,4,1,DESCRIPTIVE,なし（観察的記述）
離職中,4,4,1,DESCRIPTIVE,なし（観察的記述）
demand_count,966,100,1,DESCRIPTIVE,なし（観察的記述）
supply_count,1910,123,1,DESCRIPTIVE,なし（観察的記述）
demand_supply_ratio,966,142,1,DESCRIPTIVE,なし（観察的記述）
gap,966,94,1,DESCRIPTIVE,なし（観察的記述）
age_bucket,4885,6,450,DESCRIPTIVE,なし（観察的記述）
rarity_score,4885,106,1,DESCRIPTIVE,なし（観察的記述）
rarity_rank,4885,5,235,DESCRIPTIVE,なし（観察的記述）
total_applicants,944,99,1,DESCRIPTIVE,なし（観察的記述）
top_age_group,944,6,24,DESCRIPTIVE,なし（観察的記述）
top_age_ratio,944,124,1,DESCRIPTIVE,なし（観察的記述）
