prefecture,municipality,location,total_applicants,top_age_group,top_age_ratio,female_ratio,male_ratio,national_license_rate,top_employment_status,top_employment_ratio,avg_qualification_count,latitude,longitude
京都府,京都市伏見区,京都府京都市伏見区,1748,50代,0.284324942791762,0.6407322654462243,0.3592677345537757,0.02688787185354691,就業中,0.6413043478260869,1.715675057208238,34.9327,135.7656
京都府,京都市右京区,京都府京都市右京区,1118,50代,0.2620751341681574,0.6529516994633273,0.3470483005366727,0.03041144901610018,就業中,0.646690518783542,1.661896243291592,35.0152,135.7117
京都府,京都市山科区,京都府京都市山科区,1033,50代,0.2904162633107454,0.6592449177153921,0.34075508228460794,0.04356243949661181,就業中,0.6379477250726041,1.702807357212004,34.9777,135.8172
京都府,京都市西京区,京都府京都市西京区,922,50代,0.28308026030368766,0.6323210412147505,0.3676789587852495,0.04013015184381779,就業中,0.6377440347071583,1.7288503253796095,34.9843,135.6959
京都府,京都市南区,京都府京都市南区,885,50代,0.2598870056497175,0.6418079096045197,0.3581920903954803,0.0327683615819209,就業中,0.6237288135593221,1.8124293785310734,34.9796,135.7478
京都府,宇治市,京都府宇治市,873,50代,0.290950744558992,0.6838487972508591,0.3161512027491409,0.0286368843069874,就業中,0.6643757159221076,1.722794959908362,34.8842,135.7991
京都府,京都市中京区,京都府京都市中京区,818,50代,0.23227383863080683,0.6295843520782396,0.3704156479217604,0.03667481662591687,就業中,0.6308068459657702,1.8508557457212713,35.0063,135.7561
京都府,京都市下京区,京都府京都市下京区,804,50代,0.26243781094527363,0.6256218905472637,0.3743781094527363,0.03731343283582089,就業中,0.6194029850746269,1.9191542288557213,34.9872,135.7575
京都府,京都市上京区,京都府京都市上京区,612,50代,0.238562091503268,0.6045751633986928,0.39542483660130723,0.042483660130718956,就業中,0.5866013071895425,1.8545751633986929,35.0307,135.7489
京都府,京都市左京区,京都府京都市左京区,610,50代,0.2278688524590164,0.6114754098360655,0.3885245901639345,0.047540983606557376,就業中,0.5967213114754099,1.7426229508196722,35.0456,135.783
