prefecture,municipality,location_key,applicant_count,avg_age,male_count,female_count,avg_qualifications,latitude,longitude
京都府,京都市伏見区,京都府京都市伏見区,1748,48.7408466819222,628,1120,1.715675057208238,34.9327,135.7656
京都府,京都市右京区,京都府京都市右京区,1118,48.772808586762075,388,730,1.661896243291592,35.0152,135.7117
京都府,京都市山科区,京都府京都市山科区,1033,48.156824782187805,352,681,1.702807357212004,34.9777,135.8172
京都府,京都市西京区,京都府京都市西京区,922,47.915401301518436,339,583,1.7288503253796095,34.9843,135.6959
京都府,京都市南区,京都府京都市南区,885,46.88587570621469,317,568,1.8124293785310734,34.9796,135.7478
京都府,宇治市,京都府宇治市,873,48.11683848797251,276,597,1.722794959908362,34.8842,135.7991
京都府,京都市中京区,京都府京都市中京区,818,46.9119804400978,303,515,1.8508557457212713,35.0063,135.7561
京都府,京都市下京区,京都府京都市下京区,804,46.56218905472637,301,503,1.9191542288557213,34.9872,135.7575
京都府,京都市上京区,京都府京都市上京区,612,49.388888888888886,242,370,1.8545751633986929,35.0307,135.7489
京都府,京都市左京区,京都府京都市左京区,610,48.15245901639344,237,373,1.7426229508196722,35.0456,135.783
京都府,京都市北区,京都府京都市北区,595,47.08739495798319,225,370,1.642016806722689,35.0397,135.7556
京都府,,京都府,500,46.102,233,267,2.182,35.02,135.75
京都府,長岡京市,京都府長岡京市,481,49.36174636174636,154,327,1.9563409563409564,34.9268,135.6959
大阪府,枚方市,大阪府枚方市,432,48.719907407407405,175,257,2.3912037037037037,34.8141,135.6513
京都府,木津川市,京都府木津川市,418,49.85167464114833,144,274,1.9808612440191387,34.7367,135.82
京都府,八幡市,京都府八幡市,389,49.35218508997429,149,240,1.93573264781491,34.8733,135.7095
京都府,城陽市,京都府城陽市,379,49.02374670184697,129,250,1.8997361477572559,34.8524,135.7799
京都府,京都市東山区,京都府京都市東山区,358,48.67877094972067,146,212,1.958100558659218,34.9963,135.7774
