target_municipality,age_group,gender,has_national_license,residence_prefecture,count,avg_age,employment_rate,top_qualifications
三重県,30代,男性,False,兵庫県,1,38.0,1.0,柔道整復師;自動車運転免許
三重県,40代,女性,False,兵庫県,1,41.0,1.0,介護福祉士;自動車運転免許
三重県,40代,男性,False,京都府,1,41.0,1.0,介護支援専門員（ケアマネジャー）;介護福祉士;介護職員初任者研修（旧ヘルパー2級）
三重県,40代,男性,False,群馬県,1,48.0,1.0,介護福祉士;社会福祉主事任用資格;自動車運転免許
三重県いなべ市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県いなべ市,40代,女性,False,奈良県,1,47.0,1.0,介護福祉士;自動車運転免許
三重県亀山市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県亀山市,40代,女性,False,奈良県,1,47.0,1.0,介護福祉士;自動車運転免許
三重県亀山市,60代,女性,False,三重県,1,60.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県伊勢市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県伊賀市,40代,女性,False,奈良県,2,47.0,1.0,介護福祉士;自動車運転免許
三重県伊賀市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県伊賀市,30代,男性,False,東京都,1,30.0,1.0,自動車運転免許
三重県伊賀市,40代,女性,False,京都府,1,44.0,0.0,その他（介護特定技能１号合格者）
三重県伊賀市,60代,女性,False,三重県,1,60.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県北牟婁郡紀北町,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県名張市,30代,男性,False,東京都,1,30.0,1.0,自動車運転免許
三重県名張市,40代,女性,False,奈良県,1,47.0,1.0,介護福祉士;自動車運転免許
三重県名張市,60代,女性,False,三重県,1,60.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県名張市,60代,女性,True,愛知県,1,66.0,0.0,看護師;自動車運転免許
三重県員弁郡東員町,20代,女性,False,愛知県,1,22.0,1.0,社会福祉主事任用資格
三重県四日市市,40代,女性,False,奈良県,2,47.0,1.0,介護福祉士;自動車運転免許
三重県四日市市,20代,女性,False,大阪府,1,29.0,1.0,介護職員初任者研修（旧ヘルパー2級）;あん摩マッサージ指圧師;幼稚園教諭
三重県四日市市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県四日市市,30代,女性,False,東京都,1,32.0,1.0,歯科医師;その他（日本歯科麻酔学会認定医）
三重県四日市市,30代,男性,False,東京都,1,30.0,1.0,自動車運転免許
