target_municipality,qualification_name,applicant_count,avg_age,employment_rate
三重県,自動車運転免許,4,42.0,1.0
三重県,介護福祉士,3,43.333333333333336,1.0
三重県,社会福祉主事任用資格,1,48.0,1.0
三重県,介護支援専門員（ケアマネジャー）,1,41.0,1.0
三重県,介護職員初任者研修（旧ヘルパー2級）,1,41.0,1.0
三重県,主任介護支援専門員,1,41.0,1.0
三重県,柔道整復師,1,38.0,1.0
三重県いなべ市,介護福祉士,1,47.0,1.0
三重県いなべ市,自動車運転免許,1,47.0,1.0
三重県いなべ市,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県亀山市,介護職員初任者研修（旧ヘルパー2級）,2,45.0,1.0
三重県亀山市,介護福祉士,1,47.0,1.0
三重県亀山市,自動車運転免許,1,47.0,1.0
三重県伊勢市,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県伊賀市,自動車運転免許,3,41.333333333333336,1.0
三重県伊賀市,介護福祉士,2,47.0,1.0
三重県伊賀市,介護職員初任者研修（旧ヘルパー2級）,2,45.0,1.0
三重県伊賀市,その他（介護特定技能１号合格者）,1,44.0,0.0
三重県北牟婁郡紀北町,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県名張市,自動車運転免許,3,47.666666666666664,0.6666666666666666
三重県名張市,介護福祉士,1,47.0,1.0
三重県名張市,看護師,1,66.0,0.0
三重県名張市,介護職員初任者研修（旧ヘルパー2級）,1,60.0,1.0
三重県員弁郡東員町,社会福祉主事任用資格,1,22.0,1.0
三重県四日市市,自動車運転免許,4,47.5,0.75
三重県四日市市,介護職員初任者研修（旧ヘルパー2級）,3,38.0,0.6666666666666666
三重県四日市市,介護福祉士,2,47.0,1.0
三重県四日市市,自動車運転免許 取得予定（1年以内）,2,42.0,0.5
三重県四日市市,歯科医師,1,32.0,1.0
三重県四日市市,その他（日本歯科麻酔学会認定医）,1,32.0,1.0
三重県四日市市,看護師,1,66.0,0.0
三重県四日市市,あん摩マッサージ指圧師,1,29.0,1.0
三重県四日市市,幼稚園教諭,1,29.0,1.0
三重県四日市市,小学校教諭,1,29.0,1.0
