origin,destination,origin_pref,origin_muni,destination_pref,destination_muni,applicant_id,age,gender
奈良県山辺郡山添村,奈良県奈良市,奈良県,山辺郡山添村,奈良県,奈良市,0,49,女性
奈良県山辺郡山添村,京都府木津川市,奈良県,山辺郡山添村,京都府,木津川市,0,49,女性
奈良県生駒郡平群町,奈良県五條市,奈良県,生駒郡平群町,奈良県,五條市,1,27,男性
奈良県生駒郡平群町,奈良県葛城市,奈良県,生駒郡平群町,奈良県,葛城市,1,27,男性
奈良県生駒郡平群町,奈良県御所市,奈良県,生駒郡平群町,奈良県,御所市,1,27,男性
奈良県生駒郡平群町,奈良県吉野郡大淀町,奈良県,生駒郡平群町,奈良県,吉野郡大淀町,1,27,男性
奈良県生駒郡平群町,奈良県吉野郡下市町,奈良県,生駒郡平群町,奈良県,吉野郡下市町,1,27,男性
奈良県生駒郡平群町,奈良県吉野郡吉野町,奈良県,生駒郡平群町,奈良県,吉野郡吉野町,1,27,男性
奈良県生駒郡平群町,奈良県高市郡高取町,奈良県,生駒郡平群町,奈良県,高市郡高取町,1,27,男性
奈良県生駒郡平群町,奈良県高市郡明日香村,奈良県,生駒郡平群町,奈良県,高市郡明日香村,1,27,男性
奈良県生駒郡平群町,奈良県香芝市,奈良県,生駒郡平群町,奈良県,香芝市,1,27,男性
奈良県生駒郡平群町,和歌山県橋本市,奈良県,生駒郡平群町,和歌山県,橋本市,1,27,男性
奈良県生駒郡平群町,和歌山県紀の川市,奈良県,生駒郡平群町,和歌山県,紀の川市,1,27,男性
奈良県生駒郡平群町,奈良県磯城郡田原本町,奈良県,生駒郡平群町,奈良県,磯城郡田原本町,1,27,男性
奈良県生駒郡平群町,大阪府八尾市,奈良県,生駒郡平群町,大阪府,八尾市,1,27,男性
奈良県生駒郡平群町,大阪府富田林市,奈良県,生駒郡平群町,大阪府,富田林市,1,27,男性
奈良県生駒郡平群町,大阪府羽曳野市,奈良県,生駒郡平群町,大阪府,羽曳野市,1,27,男性
奈良県生駒郡平群町,大阪府交野市,奈良県,生駒郡平群町,大阪府,交野市,1,27,男性
奈良県生駒郡平群町,大阪府河内長野市,奈良県,生駒郡平群町,大阪府,河内長野市,1,27,男性
奈良県生駒郡平群町,奈良県大和高田市,奈良県,生駒郡平群町,奈良県,大和高田市,1,27,男性
奈良県生駒郡平群町,奈良県橿原市,奈良県,生駒郡平群町,奈良県,橿原市,1,27,男性
奈良県生駒郡平群町,大阪府東大阪市,奈良県,生駒郡平群町,大阪府,東大阪市,1,27,男性
奈良県生駒郡平群町,大阪府松原市,奈良県,生駒郡平群町,大阪府,松原市,1,27,男性
奈良県生駒郡平群町,奈良県奈良市,奈良県,生駒郡平群町,奈良県,奈良市,1,27,男性
奈良県生駒郡平群町,大阪府門真市,奈良県,生駒郡平群町,大阪府,門真市,1,27,男性
奈良県生駒郡平群町,大阪府柏原市,奈良県,生駒郡平群町,大阪府,柏原市,1,27,男性
奈良県生駒郡平群町,大阪府大東市,奈良県,生駒郡平群町,大阪府,大東市,1,27,男性
奈良県生駒郡平群町,京都府木津川市,奈良県,生駒郡平群町,京都府,木津川市,1,27,男性
奈良県生駒郡平群町,京都府相楽郡精華町,奈良県,生駒郡平群町,京都府,相楽郡精華町,1,27,男性
奈良県生駒郡平群町,奈良県北葛城郡王寺町,奈良県,生駒郡平群町,奈良県,北葛城郡王寺町,1,27,男性
滋賀県大津市,京都府京都市山科区,滋賀県,大津市,京都府,京都市山科区,2,45,男性
滋賀県大津市,京都府京都市右京区,滋賀県,大津市,京都府,京都市右京区,2,45,男性
滋賀県大津市,京都府京都市左京区,滋賀県,大津市,京都府,京都市左京区,2,45,男性
京都府京都市上京区,京都府京都市中京区,京都府,京都市上京区,京都府,京都市中京区,3,54,女性
京都府京都市上京区,京都府京都市北区,京都府,京都市上京区,京都府,京都市北区,3,54,女性
京都府京都市上京区,京都府京都市左京区,京都府,京都市上京区,京都府,京都市左京区,3,54,女性
京都府京都市上京区,京都府京都市右京区,京都府,京都市上京区,京都府,京都市右京区,3,54,女性
京都府京都市上京区,京都府京都市下京区,京都府,京都市上京区,京都府,京都市下京区,3,54,女性
京都府京都市上京区,京都府京都市東山区,京都府,京都市上京区,京都府,京都市東山区,3,54,女性
京都府京都市上京区,京都府京都市西京区,京都府,京都市上京区,京都府,京都市西京区,3,54,女性
京都府宇治市,京都府城陽市,京都府,宇治市,京都府,城陽市,4,55,男性
京都府宇治市,京都府京都市伏見区,京都府,宇治市,京都府,京都市伏見区,4,55,男性
京都府宇治市,京都府京田辺市,京都府,宇治市,京都府,京田辺市,4,55,男性
京都府宇治市,京都府久世郡久御山町,京都府,宇治市,京都府,久世郡久御山町,4,55,男性
京都府宇治市,京都府京都市南区,京都府,宇治市,京都府,京都市南区,4,55,男性
京都府京都市伏見区,京都府宇治市,京都府,京都市伏見区,京都府,宇治市,5,62,女性
京都府京都市伏見区,京都府長岡京市,京都府,京都市伏見区,京都府,長岡京市,5,62,女性
京都府京都市伏見区,京都府京都市左京区,京都府,京都市伏見区,京都府,京都市左京区,5,62,女性
京都府京都市下京区,京都府京都市北区,京都府,京都市下京区,京都府,京都市北区,6,51,女性
京都府京都市下京区,京都府京都市上京区,京都府,京都市下京区,京都府,京都市上京区,6,51,女性
京都府京都市下京区,京都府京都市右京区,京都府,京都市下京区,京都府,京都市右京区,6,51,女性
