applicant_id,residence_pref,age,gender,same_prefecture_count,different_prefecture_count,total_desired_areas,mobility_score
0,奈良県,49,女性,1,1,2,0.5
1,奈良県,27,男性,15,14,29,0.4827586206896552
2,滋賀県,45,男性,1,3,4,0.75
3,京都府,54,女性,8,0,8,0.0
4,京都府,55,男性,6,0,6,0.0
5,京都府,62,女性,4,0,4,0.0
6,京都府,51,女性,5,0,5,0.0
7,京都府,40,女性,4,0,4,0.0
8,京都府,52,女性,4,0,4,0.0
9,京都府,32,男性,2,2,4,0.5
10,京都府,28,男性,3,0,3,0.0
11,京都府,53,女性,2,0,2,0.0
12,京都府,31,男性,1,0,1,0.0
13,京都府,68,女性,2,1,3,0.3333333333333333
14,京都府,51,女性,1,0,1,0.0
15,京都府,58,男性,9,3,12,0.25
16,京都府,30,男性,15,4,19,0.21052631578947367
17,京都府,52,男性,3,1,4,0.25
18,京都府,54,女性,2,1,3,0.3333333333333333
19,京都府,81,男性,7,1,8,0.125
20,兵庫県,31,女性,7,23,30,0.7666666666666667
21,京都府,49,女性,4,1,5,0.2
22,京都府,69,男性,1,0,1,0.0
23,滋賀県,35,男性,1,1,2,0.5
24,京都府,70,女性,2,1,3,0.3333333333333333
25,京都府,36,男性,3,9,12,0.75
26,京都府,60,女性,1,0,1,0.0
27,京都府,39,男性,3,2,5,0.4
28,京都府,67,男性,1,0,1,0.0
29,京都府,36,男性,1,0,1,0.0
30,京都府,39,男性,3,2,5,0.4
31,京都府,67,男性,1,0,1,0.0
32,京都府,36,男性,1,0,1,0.0
33,大阪府,38,女性,4,1,5,0.2
34,京都府,57,女性,3,0,3,0.0
35,京都府,52,女性,1,0,1,0.0
36,京都府,26,女性,7,2,9,0.2222222222222222
37,京都府,65,女性,1,0,1,0.0
38,京都府,52,女性,4,4,8,0.5
39,京都府,60,女性,1,0,1,0.0
40,東京都,32,女性,38,157,195,0.8051282051282052
41,京都府,63,女性,3,0,3,0.0
42,京都府,50,女性,1,0,1,0.0
43,愛知県,44,女性,4,2,6,0.3333333333333333
44,兵庫県,34,女性,2,1,3,0.3333333333333333
45,京都府,35,女性,5,0,5,0.0
46,京都府,59,女性,4,0,4,0.0
47,京都府,49,女性,7,2,9,0.2222222222222222
48,大阪府,43,男性,12,2,14,0.14285714285714285
49,京都府,58,女性,2,0,2,0.0
50,京都府,40,女性,1,0,1,0.0
51,京都府,45,女性,2,0,2,0.0
52,大阪府,57,男性,6,6,12,0.5
53,奈良県,63,女性,3,6,9,0.6666666666666666
54,奈良県,69,女性,4,1,5,0.2
55,京都府,51,男性,4,0,4,0.0
56,京都府,55,女性,9,0,9,0.0
57,京都府,38,男性,1,2,3,0.6666666666666666
58,京都府,56,女性,2,0,2,0.0
59,京都府,40,男性,11,0,11,0.0
60,大阪府,25,男性,5,6,11,0.5454545454545454
61,京都府,43,男性,2,0,2,0.0
62,京都府,45,男性,6,0,6,0.0
63,京都府,57,女性,1,0,1,0.0
64,京都府,53,男性,7,6,13,0.46153846153846156
65,京都府,27,女性,3,1,4,0.25
66,神奈川県,31,女性,6,35,41,0.8536585365853658
67,兵庫県,31,男性,3,2,5,0.4
68,京都府,48,女性,2,1,3,0.3333333333333333
69,京都府,33,女性,1,0,1,0.0
70,京都府,43,女性,4,0,4,0.0
71,京都府,67,女性,8,0,8,0.0
72,京都府,56,女性,4,0,4,0.0
73,京都府,57,女性,1,1,2,0.5
74,京都府,72,男性,2,0,2,0.0
75,鹿児島県,66,女性,2,54,56,0.9642857142857143
76,大阪府,56,女性,4,1,5,0.2
77,京都府,36,男性,3,0,3,0.0
78,奈良県,57,女性,4,3,7,0.42857142857142855
79,京都府,72,女性,2,0,2,0.0
80,京都府,46,女性,3,1,4,0.25
81,滋賀県,53,女性,2,2,4,0.5
82,京都府,55,女性,1,0,1,0.0
83,滋賀県,66,男性,1,1,2,0.5
84,京都府,67,女性,2,1,3,0.3333333333333333
85,京都府,42,女性,5,0,5,0.0
86,京都府,55,男性,3,0,3,0.0
87,京都府,58,女性,1,0,1,0.0
88,兵庫県,47,女性,4,1,5,0.2
89,滋賀県,46,男性,0,8,8,1.0
90,京都府,33,男性,1,0,1,0.0
91,京都府,20,女性,1,0,1,0.0
92,京都府,37,男性,6,1,7,0.14285714285714285
93,京都府,53,男性,1,0,1,0.0
94,京都府,60,女性,1,0,1,0.0
95,京都府,45,女性,2,0,2,0.0
96,京都府,38,男性,14,9,23,0.391304347826087
97,京都府,50,男性,6,1,7,0.14285714285714285
98,奈良県,50,男性,4,28,32,0.875
99,大阪府,38,男性,3,2,5,0.4
100,滋賀県,32,女性,2,4,6,0.6666666666666666
101,京都府,74,女性,5,0,5,0.0
102,滋賀県,40,男性,2,2,4,0.5
103,京都府,47,女性,3,2,5,0.4
104,大阪府,65,女性,3,1,4,0.25
105,京都府,65,女性,1,1,2,0.5
106,京都府,56,男性,2,0,2,0.0
107,京都府,39,男性,6,3,9,0.3333333333333333
108,京都府,69,女性,1,0,1,0.0
109,京都府,47,男性,1,0,1,0.0
110,福井県,25,女性,0,4,4,1.0
111,兵庫県,36,女性,14,1,15,0.06666666666666667
112,京都府,20,女性,1,0,1,0.0
113,京都府,57,女性,2,0,2,0.0
114,京都府,50,女性,1,0,1,0.0
115,京都府,53,女性,6,0,6,0.0
116,京都府,54,女性,3,1,4,0.25
117,京都府,65,女性,1,0,1,0.0
118,京都府,40,男性,1,0,1,0.0
119,大阪府,59,男性,5,1,6,0.16666666666666666
120,京都府,44,男性,9,0,9,0.0
121,京都府,52,女性,2,0,2,0.0
122,京都府,61,女性,0,1,1,1.0
123,京都府,47,女性,1,0,1,0.0
124,京都府,59,女性,5,0,5,0.0
125,京都府,60,女性,3,0,3,0.0
126,京都府,39,男性,3,0,3,0.0
127,京都府,40,女性,1,0,1,0.0
128,滋賀県,83,男性,9,18,27,0.6666666666666666
129,京都府,39,男性,1,0,1,0.0
130,京都府,67,男性,7,1,8,0.125
131,大阪府,41,男性,3,1,4,0.25
132,京都府,44,女性,4,0,4,0.0
133,京都府,61,女性,4,0,4,0.0
134,兵庫県,54,女性,4,2,6,0.3333333333333333
135,京都府,45,女性,3,0,3,0.0
136,京都府,60,女性,1,0,1,0.0
137,滋賀県,36,女性,2,1,3,0.3333333333333333
138,京都府,55,女性,9,4,13,0.3076923076923077
139,京都府,48,女性,7,0,7,0.0
140,京都府,51,男性,5,0,5,0.0
141,京都府,66,男性,5,5,10,0.5
142,大阪府,55,男性,14,12,26,0.46153846153846156
143,滋賀県,57,女性,1,3,4,0.75
144,京都府,39,男性,4,11,15,0.7333333333333333
145,京都府,55,女性,1,0,1,0.0
146,京都府,26,女性,6,1,7,0.14285714285714285
147,千葉県,61,女性,2,1,3,0.3333333333333333
148,京都府,44,女性,2,0,2,0.0
149,京都府,60,男性,3,1,4,0.25
150,京都府,67,女性,1,0,1,0.0
151,京都府,68,男性,11,3,14,0.21428571428571427
152,京都府,49,女性,2,0,2,0.0
153,京都府,30,女性,3,0,3,0.0
154,京都府,56,女性,3,1,4,0.25
155,大阪府,46,男性,5,9,14,0.6428571428571429
156,京都府,57,女性,6,0,6,0.0
157,京都府,74,女性,5,1,6,0.16666666666666666
158,京都府,32,女性,9,1,10,0.1
159,京都府,63,男性,3,0,3,0.0
160,福井県,24,女性,1,9,10,0.9
161,京都府,58,女性,4,1,5,0.2
162,京都府,79,男性,3,0,3,0.0
163,京都府,79,女性,5,0,5,0.0
164,京都府,52,女性,2,0,2,0.0
165,京都府,53,女性,1,0,1,0.0
166,京都府,42,男性,0,7,7,1.0
167,滋賀県,55,男性,2,1,3,0.3333333333333333
168,奈良県,48,女性,3,3,6,0.5
169,京都府,37,女性,1,0,1,0.0
170,京都府,52,男性,4,1,5,0.2
171,京都府,54,男性,4,0,4,0.0
172,大阪府,19,女性,6,1,7,0.14285714285714285
173,群馬県,64,男性,14,178,192,0.9270833333333334
174,京都府,72,女性,2,0,2,0.0
175,大阪府,58,男性,47,12,59,0.2033898305084746
176,滋賀県,27,女性,1,1,2,0.5
177,京都府,56,男性,4,0,4,0.0
178,京都府,64,男性,4,2,6,0.3333333333333333
179,京都府,41,女性,2,0,2,0.0
180,大阪府,57,女性,1,1,2,0.5
181,京都府,38,女性,4,0,4,0.0
182,京都府,53,男性,12,0,12,0.0
183,大阪府,60,女性,1,1,2,0.5
184,京都府,51,男性,1,1,2,0.5
185,京都府,52,女性,1,0,1,0.0
186,京都府,51,女性,3,0,3,0.0
187,兵庫県,55,男性,15,36,51,0.7058823529411765
188,京都府,23,男性,1,0,1,0.0
189,京都府,27,女性,1,0,1,0.0
190,京都府,43,女性,2,0,2,0.0
191,奈良県,59,女性,2,1,3,0.3333333333333333
192,滋賀県,51,男性,5,6,11,0.5454545454545454
193,大阪府,48,男性,3,6,9,0.6666666666666666
194,京都府,49,男性,1,0,1,0.0
195,滋賀県,20,女性,12,6,18,0.3333333333333333
196,京都府,74,男性,4,0,4,0.0
197,奈良県,54,女性,3,3,6,0.5
198,京都府,57,女性,3,0,3,0.0
199,大阪府,58,男性,8,1,9,0.1111111111111111
200,京都府,51,女性,1,0,1,0.0
201,京都府,47,男性,5,0,5,0.0
202,京都府,58,女性,1,0,1,0.0
203,京都府,28,女性,11,9,20,0.45
204,滋賀県,54,女性,2,1,3,0.3333333333333333
205,京都府,45,男性,3,0,3,0.0
207,京都府,47,女性,1,0,1,0.0
208,兵庫県,32,女性,2,1,3,0.3333333333333333
209,京都府,41,女性,1,0,1,0.0
210,京都府,22,男性,0,1,1,1.0
211,京都府,62,男性,5,8,13,0.6153846153846154
212,京都府,32,女性,3,0,3,0.0
213,滋賀県,56,男性,1,5,6,0.8333333333333334
214,兵庫県,48,女性,1,1,2,0.5
215,静岡県,44,男性,1,1,2,0.5
216,滋賀県,64,女性,3,8,11,0.7272727272727273
217,大阪府,70,女性,3,1,4,0.25
218,大阪府,53,女性,6,2,8,0.25
219,大阪府,53,女性,4,4,8,0.5
220,京都府,39,女性,1,2,3,0.6666666666666666
221,京都府,58,女性,12,0,12,0.0
222,奈良県,28,女性,6,1,7,0.14285714285714285
223,京都府,47,女性,2,0,2,0.0
224,京都府,55,女性,5,0,5,0.0
225,京都府,48,女性,9,0,9,0.0
226,京都府,58,女性,1,0,1,0.0
227,京都府,44,男性,0,26,26,1.0
228,京都府,72,女性,2,1,3,0.3333333333333333
229,京都府,24,女性,5,2,7,0.2857142857142857
230,滋賀県,50,男性,5,3,8,0.375
231,京都府,49,女性,5,0,5,0.0
