applicant_id,age,gender,residence_pref,same_prefecture_count,different_prefecture_count,total_desired_areas,mobility_score,mobility_rank
2575,33,女性,岐阜県,0,1,1,1.0,D: 高い（県外多数）
1263,34,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
3827,30,女性,神奈川県,0,2,2,1.0,D: 高い（県外多数）
5397,35,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
5371,61,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
3825,60,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
2075,25,女性,長崎県,0,2,2,1.0,D: 高い（県外多数）
895,52,男性,秋田県,0,16,16,1.0,D: 高い（県外多数）
3822,31,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
3694,27,男性,京都府,0,5,5,1.0,D: 高い（県外多数）
3797,22,女性,神奈川県,0,3,3,1.0,D: 高い（県外多数）
5332,58,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
999,48,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
675,57,女性,滋賀県,0,2,2,1.0,D: 高い（県外多数）
5329,42,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1907,27,女性,滋賀県,0,7,7,1.0,D: 高い（県外多数）
3593,45,男性,奈良県,0,1,1,1.0,D: 高い（県外多数）
1467,26,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1269,31,男性,三重県,0,1,1,1.0,D: 高い（県外多数）
5322,41,男性,滋賀県,0,2,2,1.0,D: 高い（県外多数）
7433,64,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5317,25,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
5300,24,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
2273,31,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
892,86,男性,滋賀県,0,2,2,1.0,D: 高い（県外多数）
1666,49,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
5293,33,女性,大阪府,0,3,3,1.0,D: 高い（県外多数）
3740,30,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2134,57,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5260,33,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3725,52,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
1261,44,男性,三重県,0,2,2,1.0,D: 高い（県外多数）
432,26,女性,千葉県,0,1,1,1.0,D: 高い（県外多数）
2989,25,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5251,30,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
2869,30,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5241,23,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
5235,52,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3568,57,男性,京都府,0,4,4,1.0,D: 高い（県外多数）
5225,56,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1857,28,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
1687,48,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1244,24,男性,岐阜県,0,1,1,1.0,D: 高い（県外多数）
5215,50,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5213,34,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1969,52,女性,大阪府,0,7,7,1.0,D: 高い（県外多数）
5204,23,女性,大阪府,0,2,2,1.0,D: 高い（県外多数）
1483,54,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
2518,49,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
1287,59,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2382,22,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2402,26,女性,静岡県,0,3,3,1.0,D: 高い（県外多数）
584,39,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
2822,25,男性,京都府,0,4,4,1.0,D: 高い（県外多数）
2486,38,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1290,35,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2176,58,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
2091,24,女性,京都府,0,5,5,1.0,D: 高い（県外多数）
1737,29,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1292,22,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
2823,54,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
2695,42,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
2235,36,男性,埼玉県,0,1,1,1.0,D: 高い（県外多数）
1495,66,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5159,55,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5150,38,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2096,75,女性,奈良県,0,1,1,1.0,D: 高い（県外多数）
5149,50,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1216,56,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1296,32,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3438,28,女性,愛媛県,0,1,1,1.0,D: 高い（県外多数）
3347,23,男性,新潟県,0,19,19,1.0,D: 高い（県外多数）
3266,39,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
3592,33,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
3561,29,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1500,21,女性,兵庫県,0,2,2,1.0,D: 高い（県外多数）
1901,40,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1301,64,女性,滋賀県,0,2,2,1.0,D: 高い（県外多数）
5124,33,女性,兵庫県,0,3,3,1.0,D: 高い（県外多数）
2226,27,男性,愛知県,0,1,1,1.0,D: 高い（県外多数）
3389,32,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
1509,47,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
2825,26,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
492,52,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
2996,76,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5081,34,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
978,56,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
2868,43,男性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
5077,27,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
89,46,男性,滋賀県,0,8,8,1.0,D: 高い（県外多数）
3590,39,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
5074,51,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
500,23,女性,奈良県,0,1,1,1.0,D: 高い（県外多数）
5035,37,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
1310,20,女性,兵庫県,0,2,2,1.0,D: 高い（県外多数）
2997,45,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3450,34,女性,愛知県,0,2,2,1.0,D: 高い（県外多数）
3002,25,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
514,25,女性,長崎県,0,1,1,1.0,D: 高い（県外多数）
5017,47,女性,三重県,0,5,5,1.0,D: 高い（県外多数）
2550,49,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
3045,29,女性,東京都,0,1,1,1.0,D: 高い（県外多数）
1079,61,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
519,25,女性,愛媛県,0,5,5,1.0,D: 高い（県外多数）
5012,37,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1076,61,女性,鹿児島県,0,2,2,1.0,D: 高い（県外多数）
1848,56,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
3487,58,男性,兵庫県,0,7,7,1.0,D: 高い（県外多数）
1314,52,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3190,25,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
110,25,女性,福井県,0,4,4,1.0,D: 高い（県外多数）
3313,65,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
1316,29,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3130,54,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
1184,28,女性,兵庫県,0,2,2,1.0,D: 高い（県外多数）
3204,21,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
1062,45,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
709,59,女性,愛媛県,0,15,15,1.0,D: 高い（県外多数）
3615,61,女性,千葉県,0,2,2,1.0,D: 高い（県外多数）
1161,29,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
3399,37,男性,千葉県,0,1,1,1.0,D: 高い（県外多数）
721,24,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
122,61,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2718,35,男性,京都府,0,9,9,1.0,D: 高い（県外多数）
4952,28,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4950,23,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4927,47,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
3571,44,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
554,52,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2609,60,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
4923,60,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
928,49,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
558,46,女性,滋賀県,0,2,2,1.0,D: 高い（県外多数）
3677,48,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
4912,56,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
903,26,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
3177,66,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3494,65,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
4897,25,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
2321,51,女性,山形県,0,1,1,1.0,D: 高い（県外多数）
4886,53,男性,山口県,0,3,3,1.0,D: 高い（県外多数）
898,34,女性,秋田県,0,2,2,1.0,D: 高い（県外多数）
5404,65,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
5439,54,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
5441,42,女性,山形県,0,11,11,1.0,D: 高い（県外多数）
5469,40,男性,福井県,0,1,1,1.0,D: 高い（県外多数）
2358,53,男性,大阪府,0,15,15,1.0,D: 高い（県外多数）
5476,39,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5490,34,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3330,22,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4859,55,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3513,23,女性,東京都,0,4,4,1.0,D: 高い（県外多数）
5531,58,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
5556,23,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
5558,29,男性,奈良県,0,1,1,1.0,D: 高い（県外多数）
5562,50,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
5602,29,女性,奈良県,0,1,1,1.0,D: 高い（県外多数）
2356,23,女性,大阪府,0,4,4,1.0,D: 高い（県外多数）
5634,41,男性,兵庫県,0,3,3,1.0,D: 高い（県外多数）
5642,63,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
5653,49,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5728,51,男性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
1343,30,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
5749,46,男性,群馬県,0,3,3,1.0,D: 高い（県外多数）
5758,36,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
5778,63,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
166,42,男性,京都府,0,7,7,1.0,D: 高い（県外多数）
5802,66,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
5806,30,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
4800,28,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
1576,50,女性,茨城県,0,5,5,1.0,D: 高い（県外多数）
1728,39,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
1891,29,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
5844,52,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1146,63,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
2679,26,女性,神奈川県,0,1,1,1.0,D: 高い（県外多数）
2220,62,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
2631,75,男性,奈良県,0,2,2,1.0,D: 高い（県外多数）
4799,36,男性,滋賀県,0,6,6,1.0,D: 高い（県外多数）
5845,71,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
724,29,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
5866,30,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
5977,60,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
5898,30,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
5912,50,女性,熊本県,0,6,6,1.0,D: 高い（県外多数）
5922,28,男性,石川県,0,2,2,1.0,D: 高い（県外多数）
5924,26,男性,滋賀県,0,2,2,1.0,D: 高い（県外多数）
5931,22,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
4745,60,男性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
5941,52,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4727,60,男性,東京都,0,2,2,1.0,D: 高い（県外多数）
4717,64,女性,滋賀県,0,3,3,1.0,D: 高い（県外多数）
5990,32,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6005,27,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6016,66,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6023,64,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1888,48,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6101,29,男性,福井県,0,1,1,1.0,D: 高い（県外多数）
2012,56,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
1887,38,女性,山口県,0,17,17,1.0,D: 高い（県外多数）
6117,27,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6124,53,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
