applicant_id,age,gender,age_group,residence_prefecture,residence_municipality,desired_area_count,qualification_count,has_national_license,qualifications,desired_workstyle,desired_start,desired_job,career,employment_status,status,member_id
0,49,女性,40代,奈良県,山辺郡山添村,2,1,False,介護福祉士,パート・バイト,機会があれば転職を検討したい（2025/06/17時点）,介護職/ヘルパー (10年以上),,就業中,HOT,636683
1,27,男性,20代,奈良県,生駒郡平群町,29,4,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,自動車運転免許,その他（自動普通二輪免許）",正職員,3ヶ月以内（2025/04/26時点）,"サービス提供責任者 (5年未満),管理職（介護） (1年未満),介護職/ヘルパー (4年未満)",ライフクリエイト科(高等学校)(2016年4月卒業),就業中,HOT,832614
2,45,男性,40代,滋賀県,大津市,4,2,False,"介護福祉士,自動車運転免許",正職員,3ヶ月以内（2025/10/07時点）,"介護職/ヘルパー,生活支援員 (10年以上),営業",,就業中,HOT,1082579
3,54,女性,50代,京都府,京都市上京区,8,1,False,介護職員実務者研修（旧ヘルパー1級/基礎研修）,"正職員, 契約職員, パート・バイト",機会があれば転職を検討したい（2024/06/29時点）,介護職/ヘルパー (5年未満),(専門学校)(1992年3月卒業),在学中,HOT,1028094
4,55,男性,50代,京都府,宇治市,6,4,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修）,自動車運転免許,福祉用具専門相談員,その他（重度訪問介護）","パート・バイト, 契約職員",機会があれば転職を検討したい（2024/12/23時点）,"介護職/ヘルパー (1年未満),生活支援員 (1年未満)",普通科(高等学校)(1989年3月卒業),就業中,HOT,2449294
5,62,女性,60代,京都府,京都市伏見区,4,3,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,自動車運転免許",正職員,3ヶ月以内（2025/09/18時点）,"看護助手 (9年未満),介護職/ヘルパー (9年未満)",普通科(高等学校)(1981年3月卒業),就業中,HOT,963281
6,51,女性,50代,京都府,京都市下京区,5,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","業務委託, パート・バイト, 正職員",機会があれば転職を検討したい（2025/09/01時点）,"介護職/ヘルパー,生活相談員 (未経験),営業",,離職中,HOT,2853649
7,40,女性,40代,京都府,京都市山科区,4,2,False,"介護福祉士,介護職員初任者研修（旧ヘルパー2級）","正職員, パート・バイト",,"医療事務/受付 (未経験),生活相談員 (未経験),介護職/ヘルパー (10年未満)",,就業中,HOT,83359
8,52,女性,50代,京都府,京都市山科区,4,5,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許,その他（測量士）,その他（京都府同行援護従事者養成研修）","契約職員, パート・バイト",機会があれば転職を検討したい（2024/08/22時点）,"生活支援員 (2年未満),介護職/ヘルパー (未経験)",農学部 農業土木学科農業土木(短期大学),離職中,HOT,1668477
9,32,男性,30代,京都府,宇治市,4,1,False,小学校教諭,"契約職員, 正職員",,"児童指導員/指導員,介護職/ヘルパー",,離職中,HOT,2895621
10,28,男性,20代,京都府,京都市伏見区,3,2,True,"看護師,自動車運転免許",パート・バイト,1ヶ月以内（2025/10/19時点）,"看護師/准看護師 (8年未満),介護職/ヘルパー (2年未満)",(専門学校)(2018年3月卒業),就業中,HOT,2930808
11,53,女性,50代,京都府,京都市右京区,2,1,False,介護職員初任者研修（旧ヘルパー2級）,"パート・バイト, 正職員",3ヶ月以内（2024/10/01時点）,介護職/ヘルパー (4年未満),,就業中,HOT,1268954
12,31,男性,30代,京都府,京都市山科区,1,3,False,"介護福祉士,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",正職員,3ヶ月以内（2024/09/17時点）,介護職/ヘルパー (10年以上),,就業中,HOT,2317745
13,68,女性,60代,京都府,京都市山科区,3,3,False,"介護福祉士,自動車運転免許,その他（喀痰吸引 第２号）",パート・バイト,機会があれば転職を検討したい（2024/02/19時点）,"介護職/ヘルパー,看護師/准看護師",(短期大学),就業中,HOT,1498531
