qualification_name,is_national_license,applicant_count,avg_age
自動車運転免許,False,2961,47.76325565687268
介護福祉士,True,2176,48.825367647058826
介護職員初任者研修（旧ヘルパー2級）,False,2134,49.44236176194939
介護職員実務者研修（旧ヘルパー1級/基礎研修）,False,1025,48.49658536585366
社会福祉主事任用資格,False,253,45.573122529644266
介護支援専門員（ケアマネジャー）,False,215,52.990697674418605
社会福祉士,True,106,44.35849056603774
看護師,True,93,48.16129032258065
保育士,True,87,47.45977011494253
准看護師,True,78,54.03846153846154
介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,False,67,43.16417910447761
医療事務資格（民間）,False,66,47.36363636363637
介護職員初任者研修（旧ヘルパー2級） 取得予定（1年以内）,False,63,44.01587301587302
自動車運転免許 取得予定（1年以内）,False,62,40.274193548387096
調理師,False,56,53.732142857142854
サービス管理責任者研修,False,51,54.09803921568628
介護福祉士 取得予定（1年以内）,False,50,47.02
福祉用具専門相談員,False,41,47.73170731707317
児童指導員任用資格,False,34,48.911764705882355
幼稚園教諭,False,34,46.44117647058823
高等学校教諭,False,32,52.3125
中学校教諭,False,30,54.46666666666667
精神保健福祉士,True,25,46.36
介護事務資格（民間）,False,22,51.31818181818182
栄養士,True,21,46.142857142857146
児童発達支援管理責任者研修,False,21,54.19047619047619
相談支援従事者研修,False,20,56.6
調剤事務資格（民間）,False,18,44.833333333333336
小学校教諭,False,16,54.9375
美容師,False,16,49.75
介護支援専門員（ケアマネジャー） 取得予定（1年以内）,False,15,48.733333333333334
理学療法士,True,15,43.06666666666667
アロマセラピスト,False,13,48.61538461538461
登録販売者,False,13,51.0
社会福祉士 取得予定（1年以内）,False,12,39.416666666666664
歯科助手資格（民間）,False,12,50.916666666666664
歯科衛生士,False,11,58.54545454545455
福祉用具専門相談員 取得予定（1年以内）,False,10,32.8
主任介護支援専門員,False,10,58.0
整体師,False,10,48.6
柔道整復師,False,9,46.22222222222222
鍼灸師,False,9,43.77777777777778
ネイリスト資格（民間）,False,8,48.5
リフレクソロジスト,False,7,44.857142857142854
臨床検査技師,False,6,58.333333333333336
あん摩マッサージ指圧師,False,6,48.5
言語聴覚士,False,5,33.8
その他（食品衛生責任者）,False,5,43.4
管理栄養士,True,5,47.8
その他（甲種防火管理者）,False,5,49.2
その他（行動援護従業者養成研修）,False,5,50.4
公認心理師,False,5,48.8
放課後児童支援員認定資格,False,5,53.2
その他（認知症介護実践者研修）,False,5,40.2
作業療法士,True,5,40.6
その他（普通二種免許）,False,4,58.75
医療事務資格（民間） 取得予定（1年以内）,False,4,39.75
社会福祉主事任用資格 取得予定（1年以内）,False,4,33.25
その他（ガイドヘルパー）,False,4,54.5
保育士 取得予定（1年以内）,False,4,45.75
その他（認知症対応型サービス事業管理者研修）,False,4,40.25
歯科技工士,False,4,29.0
サービス管理責任者研修 取得予定（1年以内）,False,3,59.333333333333336
児童指導員任用資格 取得予定（1年以内）,False,3,57.333333333333336
その他（行動援護従事者養成研修）,False,3,41.666666666666664
その他（全身性ガイドヘルパー）,False,3,61.666666666666664
相談支援専門員,False,3,46.0
その他（普通自動車第二種免許）,False,3,46.0
介護事務資格（民間） 取得予定（1年以内）,False,3,36.0
その他（サービス管理責任者基礎研修）,False,3,48.333333333333336
その他（強度行動障害支援者養成研修）,False,3,52.0
その他（認知症ケア専門士）,False,3,57.0
その他（レクリエーション介護士2級）,False,3,49.0
その他（強度行動障害支援者養成研修修了）,False,3,36.0
精神保健福祉士 取得予定（1年以内）,False,3,56.666666666666664
その他（子育て支援員）,False,3,44.333333333333336
カイロプラクター,False,3,44.333333333333336
その他（健康運動指導士）,False,3,34.333333333333336
その他（簿記3級）,False,2,56.0
その他（障害者職業生活相談員）,False,2,53.0
その他（強度行動障害）,False,2,46.0
その他（同行援護）,False,2,42.0
その他（防火管理者）,False,2,52.0
その他（普通自動車第一種運転免許）,False,2,66.0
その他（アロマテラピー検定1級）,False,2,35.0
その他（難病患者等ホームヘルパー）,False,2,40.5
その他（普通自動車2種免許）,False,2,58.0
その他（認知症実践者研修）,False,2,56.5
理容師,False,2,55.0
その他（福祉住環境コーディネーター2級）,False,2,52.5
リフレクソロジスト 取得予定（1年以内）,False,2,54.0
その他（認知症介護基礎研修）,False,2,50.0
養護教諭,False,2,60.0
サービス管理責任者,False,2,47.5
放課後児童支援員認定資格 取得予定（1年以内）,False,2,59.0
その他（簿記2級）,False,2,40.5
その他（福祉住環境コーディネーター）,False,2,57.0
その他（原付免許）,False,2,36.5
その他（行政書士）,False,2,61.5
その他（医療事務）,False,2,57.5
その他（調理師）,False,2,48.5
