prefecture,municipality,location,demand_count,supply_count,demand_supply_ratio,gap,latitude,longitude
京都,府,京都府,500.0,0.0,500.0,500.0,35.02,135.75
大阪府,,大阪府,160.0,0.0,160.0,160.0,34.69,135.5
大阪府,大阪市城東区,大阪府大阪市城東区,77.0,0.0,77.0,77.0,34.6961,135.5451
滋賀県,,滋賀県,56.0,0.0,56.0,56.0,35.0,135.87
大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区,53.0,0.0,53.0,53.0,34.69,135.5
兵庫県,,兵庫県,52.0,0.0,52.0,52.0,34.69,135.18
奈良県,,奈良県,46.0,0.0,46.0,46.0,34.69,135.83
大阪府,池田市,大阪府池田市,33.0,0.0,33.0,33.0,34.69,135.5
東京都,渋谷区,東京都渋谷区,30.0,0.0,30.0,30.0,35.69,139.69
大阪府,大阪市大正区,大阪府大阪市大正区,28.0,0.0,28.0,28.0,34.69,135.5
大阪府,大阪市東成区,大阪府大阪市東成区,55.0,1.0,27.5,54.0,34.69,135.5
大阪府,大阪市鶴見区,大阪府大阪市鶴見区,54.0,1.0,27.0,53.0,34.69,135.5
大阪府,大阪市生野区,大阪府大阪市生野区,80.0,2.0,26.666666666666668,78.0,34.6619,135.5262
大阪府,豊中市,大阪府豊中市,105.0,3.0,26.25,102.0,34.7814,135.4693
東京都,世田谷区,東京都世田谷区,26.0,0.0,26.0,26.0,35.69,139.69
東京都,,東京都,26.0,0.0,26.0,26.0,35.69,139.69
兵庫県,川西市,兵庫県川西市,25.0,0.0,25.0,25.0,34.69,135.18
大阪府,大阪市西成区,大阪府大阪市西成区,75.0,2.0,25.0,73.0,34.69,135.5
大阪府,大阪市浪速区,大阪府大阪市浪速区,75.0,2.0,25.0,73.0,34.69,135.5
大阪府,大阪市福島区,大阪府大阪市福島区,49.0,1.0,24.5,48.0,34.69,135.5
東京都,文京区,東京都文京区,23.0,0.0,23.0,23.0,35.69,139.69
大阪府,堺市西区,大阪府堺市西区,23.0,0.0,23.0,23.0,34.69,135.5
