prefecture,municipality,location,age_bucket,gender,has_national_license,count,rarity_score,rarity_rank,latitude,longitude
三重県,度会郡大紀町,三重県度会郡大紀町,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
鹿児島県,鹿屋市,鹿児島県鹿屋市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
三重県,,三重県,30代,男性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,,三重県,40代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,多気郡明和町,三重県多気郡明和町,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,いなべ市,三重県いなべ市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,いなべ市,三重県いなべ市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,亀山市,三重県亀山市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,亀山市,三重県亀山市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,亀山市,三重県亀山市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,伊勢市,三重県伊勢市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,伊賀市,三重県伊賀市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,伊賀市,三重県伊賀市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
鹿児島県,鹿児島市,鹿児島県鹿児島市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
三重県,伊賀市,三重県伊賀市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,北牟婁郡紀北町,三重県北牟婁郡紀北町,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
鹿児島県,南九州市,鹿児島県南九州市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
高知県,香南市,高知県香南市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,33.56,133.53
高知県,香美市,高知県香美市,30代,男性,True,1,1.0,S: 超希少（1人のみ）,33.56,133.53
高知県,高知市,高知県高知市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,33.56,133.53
高知県,高知市,高知県高知市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,33.56,133.53
高知県,高知市,高知県高知市,40代,男性,False,1,1.0,S: 超希少（1人のみ）,33.56,133.53
鹿児島県,霧島市,鹿児島県霧島市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鳥取県,鳥取市,鳥取県鳥取市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,35.5,134.23
鹿児島県,,鹿児島県,20代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,,鹿児島県,40代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,,鹿児島県,50代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,いちき串木野市,鹿児島県いちき串木野市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,出水市,鹿児島県出水市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
三重県,四日市市,三重県四日市市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
鹿児島県,奄美市,鹿児島県奄美市,50代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,姶良市,鹿児島県姶良市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,姶良市,鹿児島県姶良市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,指宿市,鹿児島県指宿市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,日置市,鹿児島県日置市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,日置市,鹿児島県日置市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,肝属郡錦江町,鹿児島県肝属郡錦江町,50代,女性,True,1,1.0,S: 超希少（1人のみ）,31.56,130.56
東京都,渋谷区,東京都渋谷区,50代,女性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
鹿児島県,霧島市,鹿児島県霧島市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,鹿児島市,鹿児島県鹿児島市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,鹿児島市,鹿児島県鹿児島市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,鹿児島市,鹿児島県鹿児島市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,鹿児島市,鹿児島県鹿児島市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,鹿児島市,鹿児島県鹿児島市,50代,女性,False,1,1.0,S: 超希少（1人のみ）,31.56,130.56
鹿児島県,鹿児島市,鹿児島県鹿児島市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,31.56,130.56
京都府,与謝郡与謝野町,京都府与謝郡与謝野町,70歳以上,男性,False,1,1.0,S: 超希少（1人のみ）,35.02,135.75
京都府,与謝郡伊根町,京都府与謝郡伊根町,20代,女性,False,1,1.0,S: 超希少（1人のみ）,35.02,135.75
静岡県,湖西市,静岡県湖西市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,焼津市,静岡県焼津市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,熱海市,静岡県熱海市,50代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,田方郡函南町,静岡県田方郡函南町,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
三重県,鈴鹿市,三重県鈴鹿市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,鳥羽市,三重県鳥羽市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,30代,男性,False,1,1.0,S: 超希少（1人のみ）,34.8965,135.6846
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,50代,女性,True,1,1.0,S: 超希少（1人のみ）,34.8965,135.6846
京都府,久世郡久御山町,京都府久世郡久御山町,40代,男性,True,1,1.0,S: 超希少（1人のみ）,34.8889,135.75
京都府,久世郡久御山町,京都府久世郡久御山町,50代,女性,True,1,1.0,S: 超希少（1人のみ）,34.8889,135.75
京都府,与謝郡伊根町,京都府与謝郡伊根町,30代,女性,False,1,1.0,S: 超希少（1人のみ）,35.02,135.75
京都府,与謝郡伊根町,京都府与謝郡伊根町,60代,男性,False,1,1.0,S: 超希少（1人のみ）,35.02,135.75
京都府,,京都府,20代,男性,True,1,1.0,S: 超希少（1人のみ）,35.02,135.75
三重県,鈴鹿市,三重県鈴鹿市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,鈴鹿市,三重県鈴鹿市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,鈴鹿市,三重県鈴鹿市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,鈴鹿市,三重県鈴鹿市,40代,男性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
三重県,鈴鹿市,三重県鈴鹿市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,34.73,136.51
静岡県,賀茂郡西伊豆町,静岡県賀茂郡西伊豆町,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,静岡市清水区,静岡県静岡市清水区,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,静岡市清水区,静岡県静岡市清水区,50代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
京都府,,京都府,60代,男性,True,1,1.0,S: 超希少（1人のみ）,35.02,135.75
京都府,,京都府,70歳以上,男性,True,1,1.0,S: 超希少（1人のみ）,35.02,135.75
静岡県,島田市,静岡県島田市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,御前崎市,静岡県御前崎市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,御殿場市,静岡県御殿場市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,掛川市,静岡県掛川市,30代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
京都府,京丹後市,京都府京丹後市,50代,女性,True,1,1.0,S: 超希少（1人のみ）,35.02,135.75
京都府,亀岡市,京都府亀岡市,40代,女性,True,1,1.0,S: 超希少（1人のみ）,35.0139,135.5739
静岡県,浜松市中区,静岡県浜松市中区,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市中区,静岡県浜松市中区,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市中央区,静岡県浜松市中央区,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市中央区,静岡県浜松市中央区,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,富士市,静岡県富士市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,富士市,静岡県富士市,40代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,富士市,静岡県富士市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市浜名区,静岡県浜松市浜名区,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市浜名区,静岡県浜松市浜名区,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市西区,静岡県浜松市西区,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市西区,静岡県浜松市西区,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,掛川市,静岡県掛川市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,沼津市,静岡県沼津市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,沼津市,静岡県沼津市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,磐田市,静岡県磐田市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,磐田市,静岡県磐田市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,磐田市,静岡県磐田市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,藤枝市,静岡県藤枝市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市北区,静岡県浜松市北区,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市東区,静岡県浜松市東区,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市東区,静岡県浜松市東区,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,浜松市浜北区,静岡県浜松市浜北区,40代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
青森県,三沢市,青森県三沢市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
青森県,上北郡東北町,青森県上北郡東北町,30代,女性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
青森県,八戸市,青森県八戸市,50代,男性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
長野県,松本市,長野県松本市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,松本市,長野県松本市,70歳以上,女性,True,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,諏訪市,長野県諏訪市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,長野市,長野県長野市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,長野市,長野県長野市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
静岡県,,静岡県,40代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,,静岡県,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,三島市,静岡県三島市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
長野県,長野市,長野県長野市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,長野市,長野県長野市,70歳以上,女性,True,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,飯田市,長野県飯田市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
青森県,,青森県,60代,男性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
静岡県,富士宮市,静岡県富士宮市,50代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,富士宮市,静岡県富士宮市,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,富士宮市,静岡県富士宮市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,富士市,静岡県富士市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
青森県,八戸市,青森県八戸市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
青森県,青森市,青森県青森市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
青森県,黒石市,青森県黒石市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,40.82,140.74
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,60代,女性,True,1,1.0,S: 超希少（1人のみ）,34.8965,135.6846
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,70歳以上,男性,False,1,1.0,S: 超希少（1人のみ）,34.8965,135.6846
京都府,亀岡市,京都府亀岡市,20代,女性,True,1,1.0,S: 超希少（1人のみ）,35.0139,135.5739
静岡県,伊東市,静岡県伊東市,50代,女性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,伊東市,静岡県伊東市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
静岡県,伊豆の国市,静岡県伊豆の国市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,34.98,138.38
長野県,小諸市,長野県小諸市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,小諸市,長野県小諸市,70歳以上,女性,True,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,松本市,長野県松本市,30代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,松本市,長野県松本市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長崎県,長崎市,長崎県長崎市,50代,男性,True,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,長崎市,長崎県長崎市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長野県,,長野県,30代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
京都府,京都市下京区,京都府京都市下京区,30代,女性,True,1,1.0,S: 超希少（1人のみ）,34.9872,135.7575
京都府,京都市上京区,京都府京都市上京区,60代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0307,135.7489
京都府,京都市上京区,京都府京都市上京区,40代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0307,135.7489
長野県,北佐久郡軽井沢町,長野県北佐久郡軽井沢町,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,千曲市,長野県千曲市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,塩尻市,長野県塩尻市,60代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,大町市,長野県大町市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
京都府,京田辺市,京都府京田辺市,40代,男性,True,1,1.0,S: 超希少（1人のみ）,34.814,135.7691
京都府,京田辺市,京都府京田辺市,50代,男性,True,1,1.0,S: 超希少（1人のみ）,34.814,135.7691
京都府,京丹後市,京都府京丹後市,70歳以上,女性,False,1,1.0,S: 超希少（1人のみ）,35.02,135.75
京都府,京田辺市,京都府京田辺市,20代,女性,True,1,1.0,S: 超希少（1人のみ）,34.814,135.7691
京都府,京田辺市,京都府京田辺市,30代,女性,True,1,1.0,S: 超希少（1人のみ）,34.814,135.7691
京都府,京都市下京区,京都府京都市下京区,50代,男性,True,1,1.0,S: 超希少（1人のみ）,34.9872,135.7575
長野県,長野市,長野県長野市,30代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,長野市,長野県長野市,40代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,長野市,長野県長野市,50代,女性,True,1,1.0,S: 超希少（1人のみ）,36.65,138.18
京都府,京都市上京区,京都府京都市上京区,20代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0307,135.7489
京都府,京都市上京区,京都府京都市上京区,30代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0307,135.7489
京都府,京都市上京区,京都府京都市上京区,40代,女性,True,1,1.0,S: 超希少（1人のみ）,35.0307,135.7489
京都府,京田辺市,京都府京田辺市,60代,男性,True,1,1.0,S: 超希少（1人のみ）,34.814,135.7691
京都府,京都市中京区,京都府京都市中京区,40代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0063,135.7561
茨城県,結城市,茨城県結城市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,結城市,茨城県結城市,50代,女性,True,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,鹿嶋市,茨城県鹿嶋市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,龍ケ崎市,茨城県龍ケ崎市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
長崎県,,長崎県,20代,男性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,,長崎県,40代,男性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
京都府,京都市伏見区,京都府京都市伏見区,30代,男性,True,1,1.0,S: 超希少（1人のみ）,34.9327,135.7656
京都府,京都市中京区,京都府京都市中京区,60代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0063,135.7561
京都府,京都市中京区,京都府京都市中京区,70歳以上,女性,True,1,1.0,S: 超希少（1人のみ）,35.0063,135.7561
長崎県,対馬市,長崎県対馬市,50代,男性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,対馬市,長崎県対馬市,50代,男性,True,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,島原市,長崎県島原市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,松浦市,長崎県松浦市,50代,男性,True,1,1.0,S: 超希少（1人のみ）,32.75,129.88
茨城県,那珂市,茨城県那珂市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,那珂郡東海村,茨城県那珂郡東海村,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,高萩市,茨城県高萩市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,鹿嶋市,茨城県鹿嶋市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
長野県,,長野県,40代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,,長野県,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,佐久市,長野県佐久市,40代,女性,False,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長野県,佐久市,長野県佐久市,70歳以上,女性,True,1,1.0,S: 超希少（1人のみ）,36.65,138.18
長崎県,佐世保市,長崎県佐世保市,50代,男性,True,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,佐世保市,長崎県佐世保市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,南島原市,長崎県南島原市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,32.75,129.88
長崎県,大村市,長崎県大村市,50代,男性,True,1,1.0,S: 超希少（1人のみ）,32.75,129.88
茨城県,日立市,茨城県日立市,70歳以上,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,潮来市,茨城県潮来市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
京都府,京都市北区,京都府京都市北区,50代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0397,135.7556
京都府,京都市北区,京都府京都市北区,60代,男性,True,1,1.0,S: 超希少（1人のみ）,35.0397,135.7556
京都府,京都市北区,京都府京都市北区,30代,女性,True,1,1.0,S: 超希少（1人のみ）,35.0397,135.7556
茨城県,石岡市,茨城県石岡市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,神栖市,茨城県神栖市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷市,茨城県稲敷市,50代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷市,茨城県稲敷市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,常陸太田市,茨城県常陸太田市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,日立市,茨城県日立市,20代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷郡阿見町,茨城県稲敷郡阿見町,30代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷郡阿見町,茨城県稲敷郡阿見町,70歳以上,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,笠間市,茨城県笠間市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,筑西市,茨城県筑西市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,筑西市,茨城県筑西市,50代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,牛久市,茨城県牛久市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,牛久市,茨城県牛久市,70歳以上,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,結城市,茨城県結城市,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,結城郡八千代町,茨城県結城郡八千代町,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,結城郡八千代町,茨城県結城郡八千代町,70歳以上,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,行方市,茨城県行方市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,那珂市,茨城県那珂市,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷郡美浦村,茨城県稲敷郡美浦村,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷郡美浦村,茨城県稲敷郡美浦村,60代,男性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
茨城県,稲敷郡阿見町,茨城県稲敷郡阿見町,20代,女性,False,1,1.0,S: 超希少（1人のみ）,36.34,140.45
東京都,渋谷区,東京都渋谷区,70歳以上,女性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,港区,東京都港区,20代,女性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,渋谷区,東京都渋谷区,40代,女性,False,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,港区,東京都港区,30代,女性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,港区,東京都港区,40代,女性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,港区,東京都港区,40代,男性,False,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,港区,東京都港区,40代,男性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,渋谷区,東京都渋谷区,50代,男性,True,1,1.0,S: 超希少（1人のみ）,35.69,139.69
東京都,渋谷区,東京都渋谷区,60代,女性,False,1,1.0,S: 超希少（1人のみ）,35.69,139.69
