カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
prefecture,944,47,1,DESCRIPTIVE,なし（観察的記述）
municipality,944,898,1,DESCRIPTIVE,なし（観察的記述）
location,944,944,1,DESCRIPTIVE,なし（観察的記述）
total_applicants,944,99,1,DESCRIPTIVE,なし（観察的記述）
top_age_group,944,6,24,DESCRIPTIVE,なし（観察的記述）
top_age_ratio,944,124,1,DESCRIPTIVE,なし（観察的記述）
female_ratio,944,148,1,DESCRIPTIVE,なし（観察的記述）
male_ratio,944,148,1,DESCRIPTIVE,なし（観察的記述）
national_license_rate,944,114,1,DESCRIPTIVE,なし（観察的記述）
top_employment_status,944,3,5,DESCRIPTIVE,なし（観察的記述）
top_employment_ratio,944,137,1,DESCRIPTIVE,なし（観察的記述）
avg_qualification_count,944,262,1,DESCRIPTIVE,なし（観察的記述）
latitude,944,92,1,DESCRIPTIVE,なし（観察的記述）
longitude,944,92,1,DESCRIPTIVE,なし（観察的記述）
