カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
pattern,6,6,1,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（1件 < 30件）
group1,4,3,1,CRITICAL,推論用サンプル数不足（4件 < 100件） / 推論用最小グループ不足（1件 < 30件）
group2,4,2,2,CRITICAL,推論用サンプル数不足（4件 < 100件） / 推論用最小グループ不足（2件 < 30件）
variable,6,3,1,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（1件 < 30件）
chi_square,4,4,1,CRITICAL,推論用サンプル数不足（4件 < 100件） / 推論用最小グループ不足（1件 < 30件）
p_value,6,4,1,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（1件 < 30件）
df,4,3,1,CRITICAL,推論用サンプル数不足（4件 < 100件） / 推論用最小グループ不足（1件 < 30件）
effect_size,6,6,1,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（1件 < 30件）
significant,6,2,2,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（2件 < 30件）
sample_size,6,2,1,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（1件 < 30件）
interpretation,6,5,1,CRITICAL,推論用サンプル数不足（6件 < 100件） / 推論用最小グループ不足（1件 < 30件）
group,2,2,1,CRITICAL,推論用サンプル数不足（2件 < 100件） / 推論用最小グループ不足（1件 < 30件）
f_statistic,2,2,1,CRITICAL,推論用サンプル数不足（2件 < 100件） / 推論用最小グループ不足（1件 < 30件）
