persona_name,age_group,gender,has_national_license,count,avg_desired_areas,avg_qualifications,employment_rate
50代・女性・国家資格なし,50代,女性,False,1373,2.531682447195921,1.4981791697013838,0.7341587764020393
40代・女性・国家資格なし,40代,女性,False,972,2.6872427983539096,1.5401234567901234,0.6903292181069959
60代・女性・国家資格なし,60代,女性,False,899,2.389321468298109,1.389321468298109,0.696329254727475
20代・女性・国家資格なし,20代,女性,False,772,2.8639896373056994,0.7966321243523317,0.4183937823834197
30代・女性・国家資格なし,30代,女性,False,686,3.0320699708454812,1.4431486880466473,0.6603498542274052
40代・男性・国家資格なし,40代,男性,False,491,4.527494908350305,1.814663951120163,0.6680244399185336
50代・男性・国家資格なし,50代,男性,False,477,4.3249475890985325,1.79874213836478,0.6477987421383647
30代・男性・国家資格なし,30代,男性,False,438,4.449771689497717,1.639269406392694,0.6689497716894978
20代・男性・国家資格なし,20代,男性,False,436,2.919724770642202,0.8669724770642202,0.3876146788990826
60代・男性・国家資格なし,60代,男性,False,380,4.576315789473684,1.3263157894736841,0.5921052631578947
70歳以上・女性・国家資格なし,70歳以上,女性,False,197,2.1725888324873095,1.1269035532994924,0.5329949238578681
70歳以上・男性・国家資格なし,70歳以上,男性,False,196,3.5255102040816326,0.9897959183673469,0.46938775510204084
60代・女性・国家資格あり,60代,女性,True,32,11.53125,1.96875,0.625
50代・女性・国家資格あり,50代,女性,True,25,10.68,2.24,0.72
40代・女性・国家資格あり,40代,女性,True,25,5.28,2.28,0.72
70歳以上・女性・国家資格あり,70歳以上,女性,True,18,11.777777777777779,2.1666666666666665,0.5
20代・女性・国家資格あり,20代,女性,True,17,8.176470588235293,2.176470588235294,0.7058823529411765
30代・女性・国家資格あり,30代,女性,True,16,7.8125,2.0,0.6875
40代・男性・国家資格あり,40代,男性,True,12,6.083333333333333,3.5833333333333335,0.75
50代・男性・国家資格あり,50代,男性,True,8,10.625,3.625,0.75
60代・男性・国家資格あり,60代,男性,True,6,5.833333333333333,3.5,0.5
20代・男性・国家資格あり,20代,男性,True,5,2.0,1.8,0.6
30代・男性・国家資格あり,30代,男性,True,5,13.6,2.8,0.8
70歳以上・男性・国家資格あり,70歳以上,男性,True,1,2.0,2.0,1.0
