municipality,persona_name,age_group,gender,employment_status,count,total_in_municipality,market_share_pct,avg_age,avg_desired_areas,avg_qualifications,national_license_rate
京都府京都市伏見区,50代・男性・就業中,50代,男性,就業中,95,1748,5.434782608695652,54.37894736842105,5.347368421052631,2.094736842105263,0.010526315789473684
京都府京都市伏見区,50代・男性・離職中,50代,男性,離職中,53,1748,3.0320366132723113,54.471698113207545,8.320754716981131,2.188679245283019,0.03773584905660377
京都府京都市伏見区,50代・男性・在学中,50代,男性,在学中,2,1748,0.11441647597254005,54.5,1.5,0.5,0.0
京都府京都市伏見区,50代・女性・就業中,50代,女性,就業中,256,1748,14.645308924485127,54.2890625,4.0,1.80859375,0.02734375
京都府京都市伏見区,50代・女性・離職中,50代,女性,離職中,89,1748,5.091533180778033,54.662921348314605,3.5730337078651684,1.5730337078651686,0.0
京都府京都市伏見区,50代・女性・在学中,50代,女性,在学中,2,1748,0.11441647597254005,58.5,6.5,1.5,0.0
京都府京都市伏見区,60代・男性・就業中,60代,男性,就業中,60,1748,3.4324942791762014,64.18333333333334,10.75,2.0166666666666666,0.016666666666666666
京都府京都市伏見区,60代・男性・離職中,60代,男性,離職中,47,1748,2.688787185354691,63.87234042553192,5.9787234042553195,1.8936170212765957,0.02127659574468085
京都府京都市伏見区,60代・女性・就業中,60代,女性,就業中,158,1748,9.038901601830664,63.72784810126582,3.2721518987341773,1.7658227848101267,0.0379746835443038
京都府京都市伏見区,60代・女性・離職中,60代,女性,離職中,62,1748,3.5469107551487413,64.58064516129032,6.17741935483871,1.3225806451612903,0.0967741935483871
京都府京都市伏見区,60代・女性・在学中,60代,女性,在学中,2,1748,0.11441647597254005,65.0,1.0,0.0,0.0
京都府京都市伏見区,40代・男性・就業中,40代,男性,就業中,79,1748,4.519450800915332,44.56962025316456,7.341772151898734,2.1139240506329116,0.0379746835443038
京都府京都市伏見区,40代・男性・離職中,40代,男性,離職中,39,1748,2.231121281464531,44.92307692307692,4.897435897435898,2.1538461538461537,0.0
京都府京都市伏見区,40代・男性・在学中,40代,男性,在学中,3,1748,0.17162471395881007,44.0,17.666666666666668,2.6666666666666665,0.3333333333333333
