location,prefecture,municipality,career,age_group,count,avg_age,avg_qualifications
三重県伊賀市,三重県,伊賀市,医用工学部・医用情報工学科(大学)(2020年3月卒業),20代,1,29.0,3.0
三重県伊賀市,三重県,伊賀市,教育学研究科英語教育(大学院(修士))(2016年3月卒業),40代,1,44.0,6.0
三重県多気郡多気町,三重県,多気郡多気町,機械科(高等学校)(1997年3月),40代,1,47.0,1.0
三重県津市,三重県,津市,(高等学校),40代,1,42.0,2.0
京都府,京都府,,文学部日本文学(1983年3月卒業),60代,1,65.0,1.0
京都府与謝郡与謝野町,京都府,与謝郡与謝野町,(大学),40代,1,41.0,2.0
京都府与謝郡与謝野町,京都府,与謝郡与謝野町,(高等学校),20代,1,29.0,4.0
京都府与謝郡与謝野町,京都府,与謝郡与謝野町,(高等学校)(2006年3月卒業),30代,1,37.0,2.0
京都府与謝郡与謝野町,京都府,与謝郡与謝野町,普通なし(高等学校)(1999年3月卒業),50代,1,50.0,1.0
京都府与謝郡与謝野町,京都府,与謝郡与謝野町,福祉福祉(高等学校)(2017年3月卒業),20代,1,26.0,0.0
京都府久世郡久御山町,京都府,久世郡久御山町,(大学),60代,1,65.0,3.0
京都府久世郡久御山町,京都府,久世郡久御山町,(高等学校),40代,1,48.0,1.0
京都府久世郡久御山町,京都府,久世郡久御山町,(高等学校),60代,1,66.0,0.0
京都府久世郡久御山町,京都府,久世郡久御山町,(高等学校)(2001年3月卒業),40代,1,43.0,4.0
京都府久世郡久御山町,京都府,久世郡久御山町,スポーツ科学科(専門学校)(2020年3月卒業),20代,1,26.0,0.0
京都府久世郡久御山町,京都府,久世郡久御山町,美容(専門学校)(2011年10月卒業),30代,1,33.0,2.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,(高等学校),20代,1,24.0,1.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,(高等学校)(1998年3月),40代,1,44.0,2.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,(高等専門学校),40代,1,45.0,3.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,介護福祉学科(専門学校)(2006年3月卒業),40代,1,40.0,0.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,商業科(1957年3月卒業),60代,1,68.0,2.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,商業科(1995年3月卒業),40代,1,48.0,4.0
