graduation_year,count,avg_age
2030,1,25.0
2029,3,25.333333333333332
2028,3,19.333333333333332
2027,2,20.5
2026,4,21.5
2025,7,24.571428571428573
2024,15,29.466666666666665
2023,23,26.52173913043478
2022,28,30.785714285714285
2021,37,29.0
2020,37,29.27027027027027
2019,32,31.9375
2018,36,30.88888888888889
2017,51,31.941176470588236
2016,33,32.63636363636363
2015,33,32.18181818181818
2014,28,33.392857142857146
2013,44,33.63636363636363
2012,30,36.43333333333333
2011,36,35.25
2010,32,38.5625
2009,25,38.76
2008,28,40.392857142857146
2007,22,40.09090909090909
2006,33,39.878787878787875
2005,30,41.7
2004,42,42.73809523809524
2003,39,42.84615384615385
2002,34,44.088235294117645
2001,36,45.27777777777778
2000,44,46.0
1999,27,48.25925925925926
1998,49,48.285714285714285
1997,43,49.372093023255815
1996,38,49.71052631578947
1995,29,50.51724137931034
1994,33,51.484848484848484
1993,37,52.054054054054056
1992,36,53.888888888888886
1991,34,54.3235294117647
1990,44,54.54545454545455
1989,39,56.30769230769231
1988,45,57.71111111111111
1987,29,57.58620689655172
1986,34,58.61764705882353
1985,35,59.371428571428574
1984,37,60.432432432432435
1983,37,61.83783783783784
1982,33,63.78787878787879
1981,30,63.43333333333333
1980,34,64.32352941176471
1979,22,64.31818181818181
1978,21,66.19047619047619
1977,20,66.7
1976,21,68.04761904761905
1975,15,69.73333333333333
1974,12,70.5
1973,14,70.78571428571429
1972,8,73.375
1971,7,71.57142857142857
1970,7,68.14285714285714
1969,2,76.0
1968,8,74.25
1967,2,76.0
1966,3,79.0
1965,3,73.66666666666667
1964,2,79.0
1957,1,68.0
