ID,性別,年齢,年齢バケット,居住地_都道府県,居住地_市区町村,資格数,国家資格保有,就業状況
ID_1,女性,49,40代,奈良県,山辺郡山添村,1,有,就業中
ID_2,男性,27,20代,奈良県,生駒郡平群町,4,有,就業中
ID_3,男性,45,40代,滋賀県,大津市,2,有,就業中
ID_4,女性,54,50代,京都府,京都市上京区,1,無,在学中
ID_5,男性,55,50代,京都府,宇治市,4,無,就業中
ID_6,女性,62,60代,京都府,京都市伏見区,3,有,就業中
ID_7,女性,51,50代,京都府,京都市下京区,2,無,離職中
ID_8,女性,40,40代,京都府,京都市山科区,2,有,就業中
ID_9,女性,52,50代,京都府,京都市山科区,5,無,離職中
ID_10,男性,32,30代,京都府,宇治市,1,無,離職中
ID_11,男性,28,20代,京都府,京都市伏見区,2,有,就業中
ID_12,女性,53,50代,京都府,京都市右京区,1,無,就業中
ID_13,男性,31,30代,京都府,京都市山科区,3,有,就業中
ID_14,女性,68,60代,京都府,京都市山科区,3,有,就業中
ID_15,女性,51,50代,京都府,京都市右京区,1,無,就業中
ID_16,男性,58,50代,京都府,京都市右京区,4,有,離職中
ID_17,男性,30,30代,京都府,京都市西京区,1,無,離職中
ID_18,男性,52,50代,京都府,宇治市,2,有,離職中
ID_19,女性,54,50代,京都府,亀岡市,2,有,離職中
ID_20,男性,81,70歳以上,京都府,京都市伏見区,1,無,就業中
ID_21,女性,31,30代,兵庫県,神戸市中央区,0,無,就業中
ID_22,女性,49,40代,京都府,木津川市,2,無,離職中
ID_23,男性,69,60代,京都府,京都市伏見区,0,無,離職中
ID_24,男性,35,30代,滋賀県,大津市,3,有,就業中
ID_25,女性,70,70歳以上,京都府,京都市伏見区,4,有,就業中
ID_26,男性,36,30代,京都府,八幡市,1,有,就業中
ID_27,女性,60,60代,京都府,京田辺市,5,有,就業中
ID_28,男性,39,30代,京都府,京都市伏見区,1,有,就業中
ID_29,男性,67,60代,京都府,京田辺市,3,無,就業中
ID_30,男性,36,30代,京都府,京都市山科区,2,無,就業中
ID_31,男性,39,30代,京都府,京都市伏見区,1,有,就業中
ID_32,男性,67,60代,京都府,京田辺市,3,無,就業中
ID_33,男性,36,30代,京都府,京都市山科区,2,無,就業中
ID_34,女性,38,30代,大阪府,枚方市,2,無,就業中
ID_35,女性,57,50代,京都府,宇治市,1,有,就業中
ID_36,女性,52,50代,京都府,京都市山科区,2,無,就業中
ID_37,女性,26,20代,京都府,京都市下京区,2,有,就業中
ID_38,女性,65,60代,京都府,長岡京市,1,無,就業中
ID_39,女性,52,50代,京都府,木津川市,1,有,就業中
ID_40,女性,60,60代,京都府,京都市山科区,3,有,就業中
ID_41,女性,32,30代,東京都,港区,2,有,就業中
ID_42,女性,63,60代,京都府,京都市上京区,2,無,就業中
ID_43,女性,50,50代,京都府,京都市西京区,2,有,就業中
ID_44,女性,44,40代,愛知県,半田市,2,無,就業中
ID_45,女性,34,30代,兵庫県,丹波市,8,有,離職中
ID_46,女性,35,30代,京都府,京都市右京区,4,有,離職中
ID_47,女性,59,50代,京都府,木津川市,2,無,就業中
ID_48,女性,49,40代,京都府,京都市中京区,2,有,就業中
ID_49,男性,43,40代,大阪府,茨木市,6,有,離職中
ID_50,女性,58,50代,京都府,京都市山科区,0,無,離職中
ID_51,女性,40,40代,京都府,京都市山科区,2,無,就業中
ID_52,女性,45,40代,京都府,京都市伏見区,1,無,就業中
ID_53,男性,57,50代,大阪府,三島郡島本町,2,有,離職中
ID_54,女性,63,60代,奈良県,奈良市,2,無,離職中
ID_55,女性,69,60代,奈良県,生駒郡斑鳩町,3,無,就業中
ID_56,男性,51,50代,京都府,京都市西京区,1,無,就業中
ID_57,女性,55,50代,京都府,京都市山科区,0,無,就業中
ID_58,男性,38,30代,京都府,八幡市,3,有,就業中
ID_59,女性,56,50代,京都府,八幡市,2,有,就業中
ID_60,男性,40,40代,京都府,京都市西京区,2,無,離職中
ID_61,男性,25,20代,大阪府,大阪市中央区,3,無,就業中
ID_62,男性,43,40代,京都府,京都市西京区,2,有,就業中
ID_63,男性,45,40代,京都府,京都市伏見区,5,無,離職中
ID_64,女性,57,50代,京都府,京都市山科区,1,無,就業中
ID_65,男性,53,50代,京都府,亀岡市,1,無,就業中
ID_66,女性,27,20代,京都府,八幡市,1,無,就業中
ID_67,女性,31,30代,神奈川県,横浜市青葉区,1,無,就業中
ID_68,男性,31,30代,兵庫県,神戸市北区,2,無,就業中
ID_69,女性,48,40代,京都府,八幡市,2,有,離職中
ID_70,女性,33,30代,京都府,宇治市,3,有,就業中
ID_71,女性,43,40代,京都府,宇治市,3,有,就業中
ID_72,女性,67,60代,京都府,宇治市,2,無,離職中
ID_73,女性,56,50代,京都府,京都市伏見区,3,有,離職中
ID_74,女性,57,50代,京都府,木津川市,1,無,就業中
ID_75,男性,72,70歳以上,京都府,京都市伏見区,1,無,離職中
ID_76,女性,66,60代,鹿児島県,鹿児島市,6,有,離職中
ID_77,女性,56,50代,大阪府,枚方市,1,無,就業中
ID_78,男性,36,30代,京都府,京都市伏見区,2,有,就業中
ID_79,女性,57,50代,奈良県,奈良市,3,無,就業中
ID_80,女性,72,70歳以上,京都府,京都市右京区,2,無,離職中
ID_81,女性,46,40代,京都府,城陽市,1,無,就業中
ID_82,女性,53,50代,滋賀県,大津市,4,無,就業中
ID_83,女性,55,50代,京都府,京都市左京区,2,無,就業中
ID_84,男性,66,60代,滋賀県,大津市,0,無,離職中
ID_85,女性,67,60代,京都府,京都市山科区,3,有,就業中
ID_86,女性,42,40代,京都府,京都市南区,1,有,就業中
ID_87,男性,55,50代,京都府,宇治市,1,無,離職中
ID_88,女性,58,50代,京都府,京都市伏見区,1,有,就業中
ID_89,女性,47,40代,兵庫県,神戸市東灘区,1,有,就業中
ID_90,男性,46,40代,滋賀県,大津市,3,有,離職中
ID_91,男性,33,30代,京都府,南丹市,2,無,就業中
ID_92,女性,20,20代,京都府,京田辺市,0,無,離職中
ID_93,男性,37,30代,京都府,京都市山科区,1,無,就業中
ID_94,男性,53,50代,京都府,京都市右京区,2,有,就業中
ID_95,女性,60,60代,京都府,京都市北区,2,無,就業中
ID_96,女性,45,40代,京都府,船井郡京丹波町,3,有,離職中
ID_97,男性,38,30代,京都府,京都市伏見区,2,有,離職中
ID_98,男性,50,50代,京都府,京都市中京区,3,無,就業中
ID_99,男性,50,50代,奈良県,奈良市,3,無,就業中
ID_100,男性,38,30代,大阪府,枚方市,3,有,就業中
ID_101,女性,32,30代,滋賀県,大津市,2,有,就業中
ID_102,女性,74,70歳以上,京都府,京都市伏見区,3,有,就業中
ID_103,男性,40,40代,滋賀県,大津市,3,無,就業中
ID_104,女性,47,40代,京都府,亀岡市,2,無,離職中
ID_105,女性,65,60代,大阪府,寝屋川市,3,有,就業中
ID_106,女性,65,60代,京都府,木津川市,2,有,就業中
ID_107,男性,56,50代,京都府,京都市南区,1,無,就業中
ID_108,男性,39,30代,京都府,京都市南区,4,有,就業中
ID_109,女性,69,60代,京都府,亀岡市,2,無,離職中
ID_110,男性,47,40代,京都府,京都市右京区,1,無,就業中
ID_111,女性,25,20代,福井県,三方上中郡若狭町,3,無,離職中
ID_112,女性,36,30代,兵庫県,神戸市北区,1,有,就業中
ID_113,女性,20,20代,京都府,京都市西京区,1,無,離職中
ID_114,女性,57,50代,京都府,京都市伏見区,0,無,就業中
ID_115,女性,50,50代,京都府,京都市山科区,2,無,就業中
ID_116,女性,53,50代,京都府,亀岡市,3,有,就業中
ID_117,女性,54,50代,京都府,木津川市,5,無,就業中
ID_118,女性,65,60代,京都府,京都市右京区,2,有,就業中
ID_119,男性,40,40代,京都府,京都市山科区,3,有,就業中
ID_120,男性,59,50代,大阪府,大阪市東淀川区,9,有,離職中
ID_121,男性,44,40代,京都府,京都市北区,3,有,離職中
ID_122,女性,52,50代,京都府,京都市左京区,2,有,離職中
ID_123,女性,61,60代,京都府,木津川市,1,無,就業中
ID_124,女性,47,40代,京都府,京都市右京区,1,有,離職中
ID_125,女性,59,50代,京都府,城陽市,2,無,就業中
ID_126,女性,60,60代,京都府,京都市北区,3,有,離職中
ID_127,男性,39,30代,京都府,京都市中京区,4,有,就業中
ID_128,女性,40,40代,京都府,京都市南区,0,無,離職中
ID_129,男性,83,70歳以上,滋賀県,大津市,1,無,就業中
ID_130,男性,39,30代,京都府,京都市南区,1,有,就業中
ID_131,男性,67,60代,京都府,京都市山科区,6,有,就業中
ID_132,男性,41,40代,大阪府,枚方市,2,有,就業中
ID_133,女性,44,40代,京都府,木津川市,0,無,就業中
ID_134,女性,61,60代,京都府,京都市中京区,10,無,就業中
ID_135,女性,54,50代,兵庫県,丹波市,6,有,就業中
ID_136,女性,45,40代,京都府,京都市伏見区,2,無,就業中
ID_137,女性,60,60代,京都府,京都市山科区,1,無,就業中
ID_138,女性,36,30代,滋賀県,大津市,2,有,離職中
ID_139,女性,55,50代,京都府,宇治市,4,有,就業中
ID_140,女性,48,40代,京都府,京都市南区,6,有,就業中
ID_141,男性,51,50代,京都府,長岡京市,3,有,就業中
ID_142,男性,66,60代,京都府,京都市山科区,13,有,離職中
ID_143,男性,55,50代,大阪府,高槻市,3,有,離職中
ID_144,女性,57,50代,滋賀県,近江八幡市,1,無,就業中
ID_145,男性,39,30代,京都府,京都市山科区,1,無,在学中
ID_146,女性,55,50代,京都府,向日市,1,有,離職中
ID_147,女性,26,20代,京都府,京田辺市,1,無,離職中
ID_148,女性,61,60代,千葉県,市原市,1,無,就業中
ID_149,女性,44,40代,京都府,京都市右京区,1,有,就業中
ID_150,男性,60,60代,京都府,木津川市,4,有,就業中
ID_151,女性,67,60代,京都府,京都市下京区,1,有,就業中
ID_152,男性,68,60代,京都府,宇治市,2,有,離職中
ID_153,女性,49,40代,京都府,京都市伏見区,2,有,就業中
ID_154,女性,30,30代,京都府,宇治市,0,無,就業中
ID_155,女性,56,50代,京都府,京都市伏見区,2,無,就業中
ID_156,男性,46,40代,大阪府,豊能郡能勢町,3,無,離職中
ID_157,女性,57,50代,京都府,京都市西京区,2,無,離職中
ID_158,女性,74,70歳以上,京都府,京田辺市,1,無,就業中
ID_159,女性,32,30代,京都府,京都市南区,5,有,離職中
ID_160,男性,63,60代,京都府,福知山市,1,無,就業中
ID_161,女性,24,20代,福井県,福井市,1,無,就業中
ID_162,女性,58,50代,京都府,八幡市,2,有,就業中
ID_163,男性,79,70歳以上,京都府,宇治市,0,無,離職中
ID_164,女性,79,70歳以上,京都府,京都市中京区,1,無,離職中
ID_165,女性,52,50代,京都府,京都市右京区,2,無,離職中
ID_166,女性,53,50代,京都府,宇治市,2,有,就業中
ID_167,男性,42,40代,京都府,宇治市,6,有,就業中
ID_168,男性,55,50代,滋賀県,大津市,3,無,就業中
ID_169,女性,48,40代,奈良県,生駒市,2,無,離職中
ID_170,女性,37,30代,京都府,舞鶴市,3,無,離職中
ID_171,男性,52,50代,京都府,京田辺市,2,有,就業中
ID_172,男性,54,50代,京都府,京都市伏見区,3,無,就業中
ID_173,女性,19,20代,大阪府,高槻市,2,無,在学中
ID_174,男性,64,60代,群馬県,北群馬郡榛東村,4,有,就業中
ID_175,女性,72,70歳以上,京都府,亀岡市,0,無,就業中
ID_176,男性,58,50代,大阪府,富田林市,2,無,離職中
ID_177,女性,27,20代,滋賀県,大津市,0,無,就業中
ID_178,男性,56,50代,京都府,京都市山科区,3,有,就業中
ID_179,男性,64,60代,京都府,京都市北区,5,無,就業中
ID_180,女性,41,40代,京都府,京都市伏見区,3,無,就業中
ID_181,女性,57,50代,大阪府,枚方市,7,有,就業中
ID_182,女性,38,30代,京都府,京都市右京区,1,無,就業中
ID_183,男性,53,50代,京都府,京都市右京区,2,無,就業中
ID_184,女性,60,60代,大阪府,高槻市,0,無,就業中
ID_185,男性,51,50代,京都府,京田辺市,3,有,就業中
ID_186,女性,52,50代,京都府,宇治市,1,有,就業中
ID_187,女性,51,50代,京都府,京都市伏見区,1,有,就業中
