source,target,flow_count,source_pref,source_muni,target_pref,target_muni
京都府宇治市,京都府京都市伏見区,186,京都府,宇治市,京都府,京都市伏見区
京都府京都市伏見区,京都府宇治市,182,京都府,京都市伏見区,京都府,宇治市
京都府京都市伏見区,京都府京都市山科区,162,京都府,京都市伏見区,京都府,京都市山科区
京都府京都市伏見区,京都府京都市南区,142,京都府,京都市伏見区,京都府,京都市南区
京都府京都市山科区,京都府京都市伏見区,126,京都府,京都市山科区,京都府,京都市伏見区
滋賀県大津市,京都府京都市山科区,121,滋賀県,大津市,京都府,京都市山科区
京都府京都市右京区,京都府京都市中京区,117,京都府,京都市右京区,京都府,京都市中京区
京都府京都市右京区,京都府京都市西京区,108,京都府,京都市右京区,京都府,京都市西京区
京都府京都市西京区,京都府京都市右京区,105,京都府,京都市西京区,京都府,京都市右京区
京都府八幡市,大阪府枚方市,102,京都府,八幡市,大阪府,枚方市
奈良県奈良市,京都府木津川市,102,奈良県,奈良市,京都府,木津川市
京都府京都市伏見区,京都府京都市下京区,84,京都府,京都市伏見区,京都府,京都市下京区
京都府京都市西京区,京都府京都市南区,83,京都府,京都市西京区,京都府,京都市南区
京都府木津川市,奈良県奈良市,78,京都府,木津川市,奈良県,奈良市
大阪府枚方市,京都府八幡市,77,大阪府,枚方市,京都府,八幡市
京都府京都市右京区,京都府京都市上京区,73,京都府,京都市右京区,京都府,京都市上京区
京都府京都市左京区,京都府京都市北区,73,京都府,京都市左京区,京都府,京都市北区
京都府京都市右京区,京都府京都市下京区,73,京都府,京都市右京区,京都府,京都市下京区
京都府京都市北区,京都府京都市上京区,71,京都府,京都市北区,京都府,京都市上京区
京都府宇治市,京都府城陽市,70,京都府,宇治市,京都府,城陽市
京都府京都市伏見区,京都府京都市西京区,67,京都府,京都市伏見区,京都府,京都市西京区
滋賀県大津市,滋賀県草津市,65,滋賀県,大津市,滋賀県,草津市
京都府京都市南区,京都府京都市下京区,65,京都府,京都市南区,京都府,京都市下京区
京都府城陽市,京都府宇治市,63,京都府,城陽市,京都府,宇治市
京都府京都市伏見区,京都府長岡京市,61,京都府,京都市伏見区,京都府,長岡京市
京都府京都市北区,京都府京都市左京区,60,京都府,京都市北区,京都府,京都市左京区
京都府京都市右京区,京都府京都市南区,60,京都府,京都市右京区,京都府,京都市南区
京都府京都市伏見区,京都府,59,京都府,京都市伏見区,京都府,
京都府京都市西京区,京都府京都市下京区,56,京都府,京都市西京区,京都府,京都市下京区
京都府京都市西京区,京都府京都市中京区,56,京都府,京都市西京区,京都府,京都市中京区
京都府京都市南区,京都府京都市伏見区,55,京都府,京都市南区,京都府,京都市伏見区
京都府京都市伏見区,京都府京都市東山区,55,京都府,京都市伏見区,京都府,京都市東山区
京都府京都市山科区,京都府京都市東山区,55,京都府,京都市山科区,京都府,京都市東山区
京都府京都市右京区,京都府京都市北区,53,京都府,京都市右京区,京都府,京都市北区
京都府宇治市,京都府京都市山科区,53,京都府,宇治市,京都府,京都市山科区
京都府亀岡市,京都府京都市西京区,53,京都府,亀岡市,京都府,京都市西京区
京都府京都市伏見区,京都府京都市中京区,51,京都府,京都市伏見区,京都府,京都市中京区
京都府京都市山科区,京都府京都市中京区,51,京都府,京都市山科区,京都府,京都市中京区
京都府京都市山科区,京都府京都市下京区,50,京都府,京都市山科区,京都府,京都市下京区
奈良県奈良市,奈良県生駒市,49,奈良県,奈良市,奈良県,生駒市
大阪府枚方市,大阪府寝屋川市,48,大阪府,枚方市,大阪府,寝屋川市
京都府長岡京市,京都府向日市,48,京都府,長岡京市,京都府,向日市
京都府向日市,京都府京都市西京区,47,京都府,向日市,京都府,京都市西京区
京都府京都市左京区,京都府京都市上京区,47,京都府,京都市左京区,京都府,京都市上京区
京都府京都市下京区,京都府京都市中京区,47,京都府,京都市下京区,京都府,京都市中京区
京都府城陽市,京都府京都市伏見区,45,京都府,城陽市,京都府,京都市伏見区
京都府京都市左京区,京都府京都市中京区,45,京都府,京都市左京区,京都府,京都市中京区
京都府京都市伏見区,京都府京都市右京区,45,京都府,京都市伏見区,京都府,京都市右京区
