node_id,prefecture,municipality,inflow,outflow,net_flow,latitude,longitude
京都府,京都府,,499,7,492,35.0116,135.7681
京都府京都市下京区,京都府,京都市下京区,677,257,420,35.0116,135.7681
京都府京都市中京区,京都府,京都市中京区,681,291,390,35.0116,135.7681
京都府京都市上京区,京都府,京都市上京区,504,205,299,35.0116,135.7681
京都府京都市南区,京都府,京都市南区,666,454,212,35.0116,135.7681
京都府京都市東山区,京都府,京都市東山区,323,128,195,35.0116,135.7681
大阪府,大阪府,,160,0,160,34.6937,135.5023
京都府長岡京市,京都府,長岡京市,338,256,82,35.0116,135.7681
大阪府豊中市,大阪府,豊中市,103,22,81,34.6937,135.5023
大阪府大阪市城東区,大阪府,大阪市城東区,77,0,77,34.6937,135.5023
大阪府大阪市淀川区,大阪府,大阪市淀川区,94,20,74,34.6937,135.5023
大阪府大阪市北区,大阪府,大阪市北区,157,90,67,34.6937,135.5023
大阪府大阪市東淀川区,大阪府,大阪市東淀川区,98,33,65,34.6937,135.5023
大阪府大阪市生野区,大阪府,大阪市生野区,79,16,63,34.6937,135.5023
大阪府大阪市中央区,大阪府,大阪市中央区,109,46,63,34.6937,135.5023
大阪府寝屋川市,大阪府,寝屋川市,125,65,60,34.6937,135.5023
大阪府交野市,大阪府,交野市,100,43,57,34.6937,135.5023
大阪府大阪市西成区,大阪府,大阪市西成区,75,18,57,34.6937,135.5023
滋賀県,滋賀県,,56,0,56,35.0045,135.8686
大阪府大阪市住吉区,大阪府,大阪市住吉区,58,5,53,34.6937,135.5023
大阪府大阪市阿倍野区,大阪府,大阪市阿倍野区,53,0,53,34.6937,135.5023
兵庫県,兵庫県,,52,0,52,34.6913,135.183
兵庫県尼崎市,兵庫県,尼崎市,65,13,52,34.6913,135.183
大阪府大阪市東成区,大阪府,大阪市東成区,54,6,48,34.6937,135.5023
奈良県,奈良県,,46,0,46,34.6851,135.805
大阪府大阪市天王寺区,大阪府,大阪市天王寺区,57,12,45,34.6937,135.5023
大阪府八尾市,大阪府,八尾市,58,13,45,34.6937,135.5023
大阪府大阪市鶴見区,大阪府,大阪市鶴見区,54,9,45,34.6937,135.5023
大阪府大阪市福島区,大阪府,大阪市福島区,48,4,44,34.6937,135.5023
京都府久世郡久御山町,京都府,久世郡久御山町,83,40,43,35.0116,135.7681
京都府京都市北区,京都府,京都市北区,372,331,41,35.0116,135.7681
滋賀県草津市,滋賀県,草津市,144,105,39,35.0045,135.8686
大阪府守口市,大阪府,守口市,87,49,38,34.6937,135.5023
大阪府大阪市東住吉区,大阪府,大阪市東住吉区,52,15,37,34.6937,135.5023
滋賀県守山市,滋賀県,守山市,70,35,35,35.0045,135.8686
大阪府摂津市,大阪府,摂津市,51,18,33,34.6937,135.5023
大阪府池田市,大阪府,池田市,33,0,33,34.6937,135.5023
東京都渋谷区,東京都,渋谷区,30,0,30,35.6895,139.6917
滋賀県栗東市,滋賀県,栗東市,69,40,29,35.0045,135.8686
兵庫県神戸市灘区,兵庫県,神戸市灘区,30,1,29,34.6913,135.183
大阪府堺市北区,大阪府,堺市北区,36,8,28,34.6937,135.5023
大阪府大阪市大正区,大阪府,大阪市大正区,28,0,28,34.6937,135.5023
大阪府東大阪市,大阪府,東大阪市,123,96,27,34.6937,135.5023
東京都世田谷区,東京都,世田谷区,26,0,26,35.6895,139.6917
東京都,東京都,,26,0,26,35.6895,139.6917
大阪府門真市,大阪府,門真市,64,39,25,34.6937,135.5023
兵庫県川西市,兵庫県,川西市,25,0,25,34.6913,135.183
大阪府大東市,大阪府,大東市,55,31,24,34.6937,135.5023
大阪府堺市西区,大阪府,堺市西区,23,0,23,34.6937,135.5023
東京都文京区,東京都,文京区,23,0,23,35.6895,139.6917
東京都杉並区,東京都,杉並区,24,2,22,35.6895,139.6917
東京都練馬区,東京都,練馬区,23,1,22,35.6895,139.6917
大阪府藤井寺市,大阪府,藤井寺市,22,0,22,34.6937,135.5023
東京都板橋区,東京都,板橋区,22,0,22,35.6895,139.6917
大阪府茨木市,大阪府,茨木市,128,106,22,34.6937,135.5023
神奈川県横浜市港北区,神奈川県,横浜市港北区,22,0,22,35.4478,139.6425
大阪府岸和田市,大阪府,岸和田市,21,0,21,34.6937,135.5023
大阪府松原市,大阪府,松原市,21,0,21,34.6937,135.5023
東京都大田区,東京都,大田区,26,5,21,35.6895,139.6917
神奈川県,神奈川県,,20,0,20,35.4478,139.6425
大阪府四條畷市,大阪府,四條畷市,28,8,20,34.6937,135.5023
千葉県船橋市,千葉県,船橋市,20,0,20,35.6074,140.1233
兵庫県神戸市東灘区,兵庫県,神戸市東灘区,24,4,20,34.6913,135.183
愛知県,愛知県,,19,0,19,35.0,135.0
神奈川県横浜市緑区,神奈川県,横浜市緑区,19,0,19,35.4478,139.6425
大阪府和泉市,大阪府,和泉市,21,2,19,34.6937,135.5023
東京都足立区,東京都,足立区,18,0,18,35.6895,139.6917
東京都品川区,東京都,品川区,20,2,18,35.6895,139.6917
千葉県柏市,千葉県,柏市,18,0,18,35.6074,140.1233
京都府木津川市,京都府,木津川市,255,237,18,35.0116,135.7681
奈良県香芝市,奈良県,香芝市,18,0,18,34.6851,135.805
東京都町田市,東京都,町田市,18,0,18,35.6895,139.6917
