applicant_id,residence_pref,same_pref_count,diff_pref_count,total_desired,same_pref_ratio,mobility_score
ID_1,奈良県,1,1,2,0.5,0.5
ID_2,奈良県,15,14,29,0.5172413793103449,0.4827586206896552
ID_3,滋賀県,1,3,4,0.25,0.75
ID_4,京都府,8,0,8,1.0,0.0
ID_5,京都府,6,0,6,1.0,0.0
ID_6,京都府,4,0,4,1.0,0.0
ID_7,京都府,5,0,5,1.0,0.0
ID_8,京都府,4,0,4,1.0,0.0
ID_9,京都府,4,0,4,1.0,0.0
ID_10,京都府,2,2,4,0.5,0.5
ID_11,京都府,3,0,3,1.0,0.0
ID_12,京都府,2,0,2,1.0,0.0
ID_13,京都府,1,0,1,1.0,0.0
ID_14,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_15,京都府,1,0,1,1.0,0.0
ID_16,京都府,9,3,12,0.75,0.25
ID_17,京都府,15,4,19,0.7894736842105263,0.21052631578947367
ID_18,京都府,3,1,4,0.75,0.25
ID_19,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_20,京都府,7,1,8,0.875,0.125
ID_21,兵庫県,7,23,30,0.23333333333333334,0.7666666666666667
ID_22,京都府,4,1,5,0.8,0.2
ID_23,京都府,1,0,1,1.0,0.0
ID_24,滋賀県,1,1,2,0.5,0.5
ID_25,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_26,京都府,3,9,12,0.25,0.75
ID_27,京都府,1,0,1,1.0,0.0
ID_28,京都府,3,2,5,0.6,0.4
ID_29,京都府,1,0,1,1.0,0.0
ID_30,京都府,1,0,1,1.0,0.0
ID_31,京都府,3,2,5,0.6,0.4
ID_32,京都府,1,0,1,1.0,0.0
ID_33,京都府,1,0,1,1.0,0.0
ID_34,大阪府,4,1,5,0.8,0.2
ID_35,京都府,3,0,3,1.0,0.0
ID_36,京都府,1,0,1,1.0,0.0
ID_37,京都府,7,2,9,0.7777777777777778,0.2222222222222222
ID_38,京都府,1,0,1,1.0,0.0
ID_39,京都府,4,4,8,0.5,0.5
ID_40,京都府,1,0,1,1.0,0.0
ID_41,東京都,38,157,195,0.19487179487179487,0.8051282051282052
ID_42,京都府,3,0,3,1.0,0.0
ID_43,京都府,1,0,1,1.0,0.0
ID_44,愛知県,4,2,6,0.6666666666666666,0.3333333333333333
ID_45,兵庫県,2,1,3,0.6666666666666666,0.3333333333333333
ID_46,京都府,5,0,5,1.0,0.0
ID_47,京都府,4,0,4,1.0,0.0
ID_48,京都府,7,2,9,0.7777777777777778,0.2222222222222222
ID_49,大阪府,12,2,14,0.8571428571428571,0.14285714285714285
ID_50,京都府,2,0,2,1.0,0.0
ID_51,京都府,1,0,1,1.0,0.0
ID_52,京都府,2,0,2,1.0,0.0
ID_53,大阪府,6,6,12,0.5,0.5
ID_54,奈良県,3,6,9,0.3333333333333333,0.6666666666666666
ID_55,奈良県,4,1,5,0.8,0.2
ID_56,京都府,4,0,4,1.0,0.0
ID_57,京都府,9,0,9,1.0,0.0
ID_58,京都府,1,2,3,0.3333333333333333,0.6666666666666666
ID_59,京都府,2,0,2,1.0,0.0
ID_60,京都府,11,0,11,1.0,0.0
ID_61,大阪府,5,6,11,0.45454545454545453,0.5454545454545454
ID_62,京都府,2,0,2,1.0,0.0
ID_63,京都府,6,0,6,1.0,0.0
ID_64,京都府,1,0,1,1.0,0.0
ID_65,京都府,7,6,13,0.5384615384615384,0.46153846153846156
ID_66,京都府,3,1,4,0.75,0.25
ID_67,神奈川県,6,35,41,0.14634146341463414,0.8536585365853658
ID_68,兵庫県,3,2,5,0.6,0.4
ID_69,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_70,京都府,1,0,1,1.0,0.0
ID_71,京都府,4,0,4,1.0,0.0
ID_72,京都府,8,0,8,1.0,0.0
ID_73,京都府,4,0,4,1.0,0.0
ID_74,京都府,1,1,2,0.5,0.5
ID_75,京都府,2,0,2,1.0,0.0
ID_76,鹿児島県,2,54,56,0.03571428571428571,0.9642857142857143
ID_77,大阪府,4,1,5,0.8,0.2
ID_78,京都府,3,0,3,1.0,0.0
ID_79,奈良県,4,3,7,0.5714285714285714,0.42857142857142855
ID_80,京都府,2,0,2,1.0,0.0
ID_81,京都府,3,1,4,0.75,0.25
ID_82,滋賀県,2,2,4,0.5,0.5
ID_83,京都府,1,0,1,1.0,0.0
ID_84,滋賀県,1,1,2,0.5,0.5
ID_85,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_86,京都府,5,0,5,1.0,0.0
ID_87,京都府,3,0,3,1.0,0.0
ID_88,京都府,1,0,1,1.0,0.0
ID_89,兵庫県,4,1,5,0.8,0.2
ID_90,滋賀県,0,8,8,0.0,1.0
ID_91,京都府,1,0,1,1.0,0.0
ID_92,京都府,1,0,1,1.0,0.0
ID_93,京都府,6,1,7,0.8571428571428571,0.14285714285714285
ID_94,京都府,1,0,1,1.0,0.0
ID_95,京都府,1,0,1,1.0,0.0
ID_96,京都府,2,0,2,1.0,0.0
ID_97,京都府,14,9,23,0.6086956521739131,0.391304347826087
ID_98,京都府,6,1,7,0.8571428571428571,0.14285714285714285
ID_99,奈良県,4,28,32,0.125,0.875
ID_100,大阪府,3,2,5,0.6,0.4
ID_101,滋賀県,2,4,6,0.3333333333333333,0.6666666666666666
ID_102,京都府,5,0,5,1.0,0.0
ID_103,滋賀県,2,2,4,0.5,0.5
ID_104,京都府,3,2,5,0.6,0.4
ID_105,大阪府,3,1,4,0.75,0.25
ID_106,京都府,1,1,2,0.5,0.5
ID_107,京都府,2,0,2,1.0,0.0
ID_108,京都府,6,3,9,0.6666666666666666,0.3333333333333333
ID_109,京都府,1,0,1,1.0,0.0
ID_110,京都府,1,0,1,1.0,0.0
ID_111,福井県,0,4,4,0.0,1.0
ID_112,兵庫県,14,1,15,0.9333333333333333,0.06666666666666667
ID_113,京都府,1,0,1,1.0,0.0
ID_114,京都府,2,0,2,1.0,0.0
ID_115,京都府,1,0,1,1.0,0.0
ID_116,京都府,6,0,6,1.0,0.0
ID_117,京都府,3,1,4,0.75,0.25
ID_118,京都府,1,0,1,1.0,0.0
ID_119,京都府,1,0,1,1.0,0.0
ID_120,大阪府,5,1,6,0.8333333333333334,0.16666666666666666
ID_121,京都府,9,0,9,1.0,0.0
ID_122,京都府,2,0,2,1.0,0.0
ID_123,京都府,0,1,1,0.0,1.0
ID_124,京都府,1,0,1,1.0,0.0
ID_125,京都府,5,0,5,1.0,0.0
ID_126,京都府,3,0,3,1.0,0.0
ID_127,京都府,3,0,3,1.0,0.0
ID_128,京都府,1,0,1,1.0,0.0
ID_129,滋賀県,9,18,27,0.3333333333333333,0.6666666666666666
ID_130,京都府,1,0,1,1.0,0.0
ID_131,京都府,7,1,8,0.875,0.125
ID_132,大阪府,3,1,4,0.75,0.25
ID_133,京都府,4,0,4,1.0,0.0
ID_134,京都府,4,0,4,1.0,0.0
ID_135,兵庫県,4,2,6,0.6666666666666666,0.3333333333333333
ID_136,京都府,3,0,3,1.0,0.0
ID_137,京都府,1,0,1,1.0,0.0
ID_138,滋賀県,2,1,3,0.6666666666666666,0.3333333333333333
ID_139,京都府,9,4,13,0.6923076923076923,0.3076923076923077
ID_140,京都府,7,0,7,1.0,0.0
ID_141,京都府,5,0,5,1.0,0.0
ID_142,京都府,5,5,10,0.5,0.5
ID_143,大阪府,14,12,26,0.5384615384615384,0.46153846153846156
ID_144,滋賀県,1,3,4,0.25,0.75
ID_145,京都府,4,11,15,0.26666666666666666,0.7333333333333333
ID_146,京都府,1,0,1,1.0,0.0
ID_147,京都府,6,1,7,0.8571428571428571,0.14285714285714285
ID_148,千葉県,2,1,3,0.6666666666666666,0.3333333333333333
ID_149,京都府,2,0,2,1.0,0.0
ID_150,京都府,3,1,4,0.75,0.25
ID_151,京都府,1,0,1,1.0,0.0
ID_152,京都府,11,3,14,0.7857142857142857,0.21428571428571427
ID_153,京都府,2,0,2,1.0,0.0
ID_154,京都府,3,0,3,1.0,0.0
ID_155,京都府,3,1,4,0.75,0.25
ID_156,大阪府,5,9,14,0.35714285714285715,0.6428571428571429
ID_157,京都府,6,0,6,1.0,0.0
ID_158,京都府,5,1,6,0.8333333333333334,0.16666666666666666
ID_159,京都府,9,1,10,0.9,0.1
ID_160,京都府,3,0,3,1.0,0.0
ID_161,福井県,1,9,10,0.1,0.9
ID_162,京都府,4,1,5,0.8,0.2
ID_163,京都府,3,0,3,1.0,0.0
ID_164,京都府,5,0,5,1.0,0.0
ID_165,京都府,2,0,2,1.0,0.0
ID_166,京都府,1,0,1,1.0,0.0
ID_167,京都府,0,7,7,0.0,1.0
ID_168,滋賀県,2,1,3,0.6666666666666666,0.3333333333333333
ID_169,奈良県,3,3,6,0.5,0.5
ID_170,京都府,1,0,1,1.0,0.0
ID_171,京都府,4,1,5,0.8,0.2
ID_172,京都府,4,0,4,1.0,0.0
ID_173,大阪府,6,1,7,0.8571428571428571,0.14285714285714285
ID_174,群馬県,14,178,192,0.07291666666666667,0.9270833333333334
ID_175,京都府,2,0,2,1.0,0.0
ID_176,大阪府,47,12,59,0.7966101694915254,0.2033898305084746
ID_177,滋賀県,1,1,2,0.5,0.5
ID_178,京都府,4,0,4,1.0,0.0
ID_179,京都府,4,2,6,0.6666666666666666,0.3333333333333333
ID_180,京都府,2,0,2,1.0,0.0
ID_181,大阪府,1,1,2,0.5,0.5
ID_182,京都府,4,0,4,1.0,0.0
ID_183,京都府,12,0,12,1.0,0.0
ID_184,大阪府,1,1,2,0.5,0.5
ID_185,京都府,1,1,2,0.5,0.5
ID_186,京都府,1,0,1,1.0,0.0
ID_187,京都府,3,0,3,1.0,0.0
