申請者ID,年齢層,性別,同一都道府県,異なる都道府県,移動許容度スコア
ID_1,40代,女性,1,1,0.5
ID_2,20代,男性,15,14,0.4827586206896552
ID_3,40代,男性,1,3,0.75
ID_4,50代,女性,8,0,0.0
ID_5,50代,男性,6,0,0.0
ID_6,60代,女性,4,0,0.0
ID_7,50代,女性,5,0,0.0
ID_8,40代,女性,4,0,0.0
ID_9,50代,女性,4,0,0.0
ID_10,30代,男性,2,2,0.5
ID_11,20代,男性,3,0,0.0
ID_12,50代,女性,2,0,0.0
ID_13,30代,男性,1,0,0.0
ID_14,60代,女性,2,1,0.3333333333333333
ID_15,50代,女性,1,0,0.0
ID_16,50代,男性,9,3,0.25
ID_17,30代,男性,15,4,0.21052631578947367
ID_18,50代,男性,3,1,0.25
ID_19,50代,女性,2,1,0.3333333333333333
ID_20,70歳以上,男性,7,1,0.125
ID_21,30代,女性,7,23,0.7666666666666667
ID_22,40代,女性,4,1,0.2
ID_23,60代,男性,1,0,0.0
ID_24,30代,男性,1,1,0.5
ID_25,70歳以上,女性,2,1,0.3333333333333333
ID_26,30代,男性,3,9,0.75
ID_27,60代,女性,1,0,0.0
ID_28,30代,男性,3,2,0.4
ID_29,60代,男性,1,0,0.0
ID_30,30代,男性,1,0,0.0
ID_31,30代,男性,3,2,0.4
ID_32,60代,男性,1,0,0.0
ID_33,30代,男性,1,0,0.0
ID_34,30代,女性,4,1,0.2
ID_35,50代,女性,3,0,0.0
ID_36,50代,女性,1,0,0.0
ID_37,20代,女性,7,2,0.2222222222222222
ID_38,60代,女性,1,0,0.0
ID_39,50代,女性,4,4,0.5
ID_40,60代,女性,1,0,0.0
ID_41,30代,女性,38,157,0.8051282051282052
ID_42,60代,女性,3,0,0.0
ID_43,50代,女性,1,0,0.0
ID_44,40代,女性,4,2,0.3333333333333333
ID_45,30代,女性,2,1,0.3333333333333333
ID_46,30代,女性,5,0,0.0
ID_47,50代,女性,4,0,0.0
ID_48,40代,女性,7,2,0.2222222222222222
ID_49,40代,男性,12,2,0.14285714285714285
ID_50,50代,女性,2,0,0.0
ID_51,40代,女性,1,0,0.0
ID_52,40代,女性,2,0,0.0
ID_53,50代,男性,6,6,0.5
ID_54,60代,女性,3,6,0.6666666666666666
ID_55,60代,女性,4,1,0.2
ID_56,50代,男性,4,0,0.0
ID_57,50代,女性,9,0,0.0
ID_58,30代,男性,1,2,0.6666666666666666
ID_59,50代,女性,2,0,0.0
ID_60,40代,男性,11,0,0.0
ID_61,20代,男性,5,6,0.5454545454545454
ID_62,40代,男性,2,0,0.0
ID_63,40代,男性,6,0,0.0
ID_64,50代,女性,1,0,0.0
ID_65,50代,男性,7,6,0.46153846153846156
ID_66,20代,女性,3,1,0.25
ID_67,30代,女性,6,35,0.8536585365853658
ID_68,30代,男性,3,2,0.4
ID_69,40代,女性,2,1,0.3333333333333333
ID_70,30代,女性,1,0,0.0
ID_71,40代,女性,4,0,0.0
ID_72,60代,女性,8,0,0.0
ID_73,50代,女性,4,0,0.0
ID_74,50代,女性,1,1,0.5
ID_75,70歳以上,男性,2,0,0.0
ID_76,60代,女性,2,54,0.9642857142857143
ID_77,50代,女性,4,1,0.2
ID_78,30代,男性,3,0,0.0
ID_79,50代,女性,4,3,0.42857142857142855
ID_80,70歳以上,女性,2,0,0.0
ID_81,40代,女性,3,1,0.25
ID_82,50代,女性,2,2,0.5
ID_83,50代,女性,1,0,0.0
ID_84,60代,男性,1,1,0.5
ID_85,60代,女性,2,1,0.3333333333333333
ID_86,40代,女性,5,0,0.0
ID_87,50代,男性,3,0,0.0
ID_88,50代,女性,1,0,0.0
ID_89,40代,女性,4,1,0.2
ID_90,40代,男性,0,8,1.0
ID_91,30代,男性,1,0,0.0
ID_92,20代,女性,1,0,0.0
ID_93,30代,男性,6,1,0.14285714285714285
ID_94,50代,男性,1,0,0.0
ID_95,60代,女性,1,0,0.0
ID_96,40代,女性,2,0,0.0
ID_97,30代,男性,14,9,0.391304347826087
ID_98,50代,男性,6,1,0.14285714285714285
ID_99,50代,男性,4,28,0.875
ID_100,30代,男性,3,2,0.4
ID_101,30代,女性,2,4,0.6666666666666666
ID_102,70歳以上,女性,5,0,0.0
ID_103,40代,男性,2,2,0.5
ID_104,40代,女性,3,2,0.4
ID_105,60代,女性,3,1,0.25
ID_106,60代,女性,1,1,0.5
ID_107,50代,男性,2,0,0.0
ID_108,30代,男性,6,3,0.3333333333333333
ID_109,60代,女性,1,0,0.0
ID_110,40代,男性,1,0,0.0
ID_111,20代,女性,0,4,1.0
ID_112,30代,女性,14,1,0.06666666666666667
ID_113,20代,女性,1,0,0.0
ID_114,50代,女性,2,0,0.0
ID_115,50代,女性,1,0,0.0
ID_116,50代,女性,6,0,0.0
ID_117,50代,女性,3,1,0.25
ID_118,60代,女性,1,0,0.0
ID_119,40代,男性,1,0,0.0
ID_120,50代,男性,5,1,0.16666666666666666
ID_121,40代,男性,9,0,0.0
