ペルソナ名,都道府県,市区町村,キー,人数,緯度,経度
20代層,奈良県,五條市,奈良県五條市,2,34.6851,135.805
20代層,奈良県,葛城市,奈良県葛城市,2,34.6851,135.805
20代層,奈良県,御所市,奈良県御所市,2,34.6851,135.805
20代層,奈良県,吉野郡大淀町,奈良県吉野郡大淀町,1,34.6851,135.805
20代層,奈良県,吉野郡下市町,奈良県吉野郡下市町,1,34.6851,135.805
20代層,奈良県,吉野郡吉野町,奈良県吉野郡吉野町,2,34.6851,135.805
20代層,奈良県,高市郡高取町,奈良県高市郡高取町,1,34.6851,135.805
20代層,奈良県,高市郡明日香村,奈良県高市郡明日香村,1,34.6851,135.805
20代層,奈良県,香芝市,奈良県香芝市,2,34.6851,135.805
20代層,和歌山県,橋本市,和歌山県橋本市,1,35.0,135.0
20代層,和歌山県,紀の川市,和歌山県紀の川市,1,35.0,135.0
20代層,奈良県,磯城郡田原本町,奈良県磯城郡田原本町,3,34.6851,135.805
20代層,大阪府,八尾市,大阪府八尾市,9,34.6937,135.5023
20代層,大阪府,富田林市,大阪府富田林市,2,34.6937,135.5023
20代層,大阪府,羽曳野市,大阪府羽曳野市,3,34.6937,135.5023
20代層,大阪府,交野市,大阪府交野市,9,34.6937,135.5023
20代層,大阪府,河内長野市,大阪府河内長野市,2,34.6937,135.5023
20代層,奈良県,大和高田市,奈良県大和高田市,2,34.6851,135.805
20代層,奈良県,橿原市,奈良県橿原市,5,34.6851,135.805
20代層,大阪府,東大阪市,大阪府東大阪市,14,34.6937,135.5023
20代層,大阪府,松原市,大阪府松原市,2,34.6937,135.5023
20代層,奈良県,奈良市,奈良県奈良市,22,34.6851,135.805
20代層,大阪府,門真市,大阪府門真市,8,34.6937,135.5023
20代層,大阪府,柏原市,大阪府柏原市,3,34.6937,135.5023
20代層,大阪府,大東市,大阪府大東市,7,34.6937,135.5023
20代層,京都府,木津川市,京都府木津川市,54,35.0116,135.7681
20代層,京都府,相楽郡精華町,京都府相楽郡精華町,23,35.0116,135.7681
20代層,奈良県,生駒郡平群町,奈良県生駒郡平群町,1,34.6851,135.805
20代層,奈良県,北葛城郡王寺町,奈良県北葛城郡王寺町,3,34.6851,135.805
20代層,京都府,,京都府,77,35.0116,135.7681
20代層,京都府,長岡京市,京都府長岡京市,45,35.0116,135.7681
20代層,京都府,京都市山科区,京都府京都市山科区,133,35.0116,135.7681
20代層,京都府,京都市右京区,京都府京都市右京区,137,35.0116,135.7681
20代層,京都府,京都市中京区,京都府京都市中京区,113,35.0116,135.7681
20代層,京都府,京都市南区,京都府京都市南区,130,35.0116,135.7681
20代層,京都府,八幡市,京都府八幡市,44,35.0116,135.7681
20代層,大阪府,茨木市,大阪府茨木市,18,34.6937,135.5023
20代層,京都府,京都市西京区,京都府京都市西京区,125,35.0116,135.7681
20代層,京都府,京都市伏見区,京都府京都市伏見区,250,35.0116,135.7681
20代層,京都府,京都市下京区,京都府京都市下京区,112,35.0116,135.7681
20代層,大阪府,高槻市,大阪府高槻市,32,34.6937,135.5023
20代層,大阪府,大阪市中央区,大阪府大阪市中央区,27,34.6937,135.5023
20代層,埼玉県,和光市,埼玉県和光市,3,35.8617,139.6455
20代層,大阪府,大阪市浪速区,大阪府大阪市浪速区,12,34.6937,135.5023
20代層,香川県,高松市,香川県高松市,3,35.0,135.0
20代層,大阪府,大阪市西淀川区,大阪府大阪市西淀川区,10,34.6937,135.5023
20代層,大阪府,大阪市西成区,大阪府大阪市西成区,9,34.6937,135.5023
20代層,大阪府,大阪市北区,大阪府大阪市北区,32,34.6937,135.5023
20代層,京都府,宇治市,京都府宇治市,126,35.0116,135.7681
20代層,東京都,港区,東京都港区,5,35.6895,139.6917
20代層,東京都,世田谷区,東京都世田谷区,4,35.6895,139.6917
20代層,京都府,久世郡久御山町,京都府久世郡久御山町,14,35.0116,135.7681
20代層,京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,9,35.0116,135.7681
20代層,大阪府,枚方市,大阪府枚方市,37,34.6937,135.5023
20代層,京都府,京田辺市,京都府京田辺市,41,35.0116,135.7681
20代層,滋賀県,,滋賀県,7,35.0045,135.8686
20代層,東京都,品川区,東京都品川区,4,35.6895,139.6917
20代層,滋賀県,大津市,滋賀県大津市,44,35.0045,135.8686
20代層,京都府,城陽市,京都府城陽市,51,35.0116,135.7681
20代層,京都府,綴喜郡井手町,京都府綴喜郡井手町,4,35.0116,135.7681
20代層,京都府,京都市北区,京都府京都市北区,108,35.0116,135.7681
20代層,福井県,越前市,福井県越前市,3,35.0,135.0
20代層,京都府,京都市東山区,京都府京都市東山区,47,35.0116,135.7681
20代層,京都府,京都市上京区,京都府京都市上京区,80,35.0116,135.7681
20代層,大阪府,大阪市西区,大阪府大阪市西区,11,34.6937,135.5023
20代層,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区,9,34.6937,135.5023
20代層,大阪府,摂津市,大阪府摂津市,9,34.6937,135.5023
20代層,滋賀県,近江八幡市,滋賀県近江八幡市,2,35.0045,135.8686
20代層,滋賀県,蒲生郡竜王町,滋賀県蒲生郡竜王町,1,35.0045,135.8686
20代層,滋賀県,東近江市,滋賀県東近江市,5,35.0045,135.8686
20代層,滋賀県,野洲市,滋賀県野洲市,7,35.0045,135.8686
20代層,滋賀県,守山市,滋賀県守山市,10,35.0045,135.8686
20代層,滋賀県,草津市,滋賀県草津市,17,35.0045,135.8686
20代層,滋賀県,栗東市,滋賀県栗東市,10,35.0045,135.8686
20代層,滋賀県,彦根市,滋賀県彦根市,7,35.0045,135.8686
20代層,滋賀県,甲賀市,滋賀県甲賀市,5,35.0045,135.8686
20代層,滋賀県,湖南市,滋賀県湖南市,3,35.0045,135.8686
20代層,京都府,京都市左京区,京都府京都市左京区,92,35.0116,135.7681
20代層,滋賀県,蒲生郡日野町,滋賀県蒲生郡日野町,2,35.0045,135.8686
20代層,大阪府,大阪市淀川区,大阪府大阪市淀川区,15,34.6937,135.5023
20代層,大阪府,大阪市旭区,大阪府大阪市旭区,8,34.6937,135.5023
20代層,大阪府,吹田市,大阪府吹田市,21,34.6937,135.5023
20代層,沖縄県,南城市,沖縄県南城市,2,35.0,135.0
20代層,奈良県,大和郡山市,奈良県大和郡山市,5,34.6851,135.805
20代層,奈良県,天理市,奈良県天理市,2,34.6851,135.805
20代層,奈良県,生駒市,奈良県生駒市,4,34.6851,135.805
20代層,奈良県,磯城郡三宅町,奈良県磯城郡三宅町,1,34.6851,135.805
20代層,大阪府,,大阪府,32,34.6937,135.5023
20代層,大阪府,堺市堺区,大阪府堺市堺区,2,34.6937,135.5023
20代層,大阪府,堺市中区,大阪府堺市中区,6,34.6937,135.5023
20代層,大阪府,堺市北区,大阪府堺市北区,4,34.6937,135.5023
20代層,広島県,,広島県,2,35.0,135.0
20代層,兵庫県,,兵庫県,9,34.6913,135.183
20代層,愛知県,,愛知県,5,35.0,135.0
20代層,京都府,亀岡市,京都府亀岡市,44,35.0116,135.7681
20代層,千葉県,木更津市,千葉県木更津市,2,35.6074,140.1233
20代層,千葉県,,千葉県,1,35.6074,140.1233
20代層,千葉県,柏市,千葉県柏市,3,35.6074,140.1233
20代層,埼玉県,越谷市,埼玉県越谷市,3,35.8617,139.6455
20代層,千葉県,市原市,千葉県市原市,2,35.6074,140.1233
20代層,大阪府,和泉市,大阪府和泉市,5,34.6937,135.5023
20代層,東京都,北区,東京都北区,2,35.6895,139.6917
20代層,埼玉県,さいたま市大宮区,埼玉県さいたま市大宮区,2,35.8617,139.6455
20代層,東京都,足立区,東京都足立区,2,35.6895,139.6917
20代層,埼玉県,蕨市,埼玉県蕨市,2,35.8617,139.6455
20代層,福岡県,久留米市,福岡県久留米市,2,35.0,135.0
20代層,大阪府,岸和田市,大阪府岸和田市,4,34.6937,135.5023
20代層,埼玉県,朝霞市,埼玉県朝霞市,2,35.8617,139.6455
20代層,埼玉県,富士見市,埼玉県富士見市,2,35.8617,139.6455
20代層,千葉県,流山市,千葉県流山市,3,35.6074,140.1233
20代層,群馬県,高崎市,群馬県高崎市,2,36.3907,139.0604
20代層,東京都,国分寺市,東京都国分寺市,2,35.6895,139.6917
20代層,大阪府,大阪市城東区,大阪府大阪市城東区,9,34.6937,135.5023
20代層,埼玉県,さいたま市南区,埼玉県さいたま市南区,2,35.8617,139.6455
20代層,埼玉県,川口市,埼玉県川口市,6,35.8617,139.6455
20代層,東京都,文京区,東京都文京区,3,35.6895,139.6917
20代層,千葉県,松戸市,千葉県松戸市,2,35.6074,140.1233
20代層,東京都,小金井市,東京都小金井市,2,35.6895,139.6917
20代層,東京都,墨田区,東京都墨田区,3,35.6895,139.6917
20代層,兵庫県,三田市,兵庫県三田市,4,34.6913,135.183
