id,age,gender,age_group,generation,residence_raw,residence_pref,residence_muni,residence_region,qualification_count
1,49,F,45-49,Middle,1,,,,0
2,27,M,25-29,Young,2,,,,0
3,45,M,40-44,Middle,3,,,,0
4,54,F,50-54,Senior,4,,,,0
5,55,M,50-54,Senior,5,,,,0
6,62,F,60-64,Senior,6,,,,0
7,51,F,50-54,Senior,7,,,,0
8,40,F,35-39,Middle,8,,,,0
9,52,F,50-54,Senior,9,,,,0
10,32,M,30-34,Young,10,,,,0
11,28,M,25-29,Young,11,,,,0
12,53,F,50-54,Senior,12,,,,0
13,31,M,30-34,Young,13,,,,0
14,68,F,65-69,Elderly,14,,,,0
15,51,F,50-54,Senior,15,,,,0
16,58,M,55-59,Senior,16,,,,0
17,30,M,25-29,Young,17,,,,0
18,52,M,50-54,Senior,18,,,,0
19,54,F,50-54,Senior,19,,,,0
20,81,M,70+,Elderly,20,,,,0
21,31,F,30-34,Young,21,,,,0
22,49,F,45-49,Middle,22,,,,0
23,69,M,65-69,Elderly,23,,,,0
24,35,M,30-34,Young,24,,,,0
25,70,F,65-69,Elderly,25,,,,0
26,36,M,35-39,Middle,26,,,,0
27,60,F,55-59,Senior,27,,,,0
28,39,M,35-39,Middle,28,,,,0
29,67,M,65-69,Elderly,29,,,,0
30,36,M,35-39,Middle,30,,,,0
31,39,M,35-39,Middle,1,,,,0
32,67,M,65-69,Elderly,2,,,,0
33,36,M,35-39,Middle,3,,,,0
34,38,F,35-39,Middle,4,,,,0
35,57,F,55-59,Senior,5,,,,0
36,52,F,50-54,Senior,6,,,,0
37,26,F,25-29,Young,7,,,,0
38,65,F,60-64,Senior,8,,,,0
39,52,F,50-54,Senior,9,,,,0
40,60,F,55-59,Senior,10,,,,0
41,32,F,30-34,Young,11,,,,0
42,63,F,60-64,Senior,12,,,,0
43,50,F,45-49,Middle,13,,,,0
44,44,F,40-44,Middle,14,,,,0
45,34,F,30-34,Young,15,,,,0
46,35,F,30-34,Young,16,,,,0
47,59,F,55-59,Senior,17,,,,0
48,49,F,45-49,Middle,18,,,,0
49,43,M,40-44,Middle,19,,,,0
50,58,F,55-59,Senior,20,,,,0
51,40,F,35-39,Middle,21,,,,0
52,45,F,40-44,Middle,22,,,,0
53,57,M,55-59,Senior,23,,,,0
54,63,F,60-64,Senior,24,,,,0
55,69,F,65-69,Elderly,25,,,,0
56,51,M,50-54,Senior,26,,,,0
57,55,F,50-54,Senior,27,,,,0
58,38,M,35-39,Middle,28,,,,0
59,56,F,55-59,Senior,29,,,,0
60,40,M,35-39,Middle,30,,,,0
61,25,M,20-24,Young,1,,,,0
62,43,M,40-44,Middle,2,,,,0
63,45,M,40-44,Middle,3,,,,0
64,57,F,55-59,Senior,4,,,,0
65,53,M,50-54,Senior,5,,,,0
66,27,F,25-29,Young,6,,,,0
67,31,F,30-34,Young,7,,,,0
68,31,M,30-34,Young,8,,,,0
69,48,F,45-49,Middle,9,,,,0
70,33,F,30-34,Young,10,,,,0
71,43,F,40-44,Middle,11,,,,0
72,67,F,65-69,Elderly,12,,,,0
73,56,F,55-59,Senior,13,,,,0
74,57,F,55-59,Senior,14,,,,0
75,72,M,70+,Elderly,15,,,,0
76,66,F,65-69,Elderly,16,,,,0
77,56,F,55-59,Senior,17,,,,0
78,36,M,35-39,Middle,18,,,,0
79,57,F,55-59,Senior,19,,,,0
80,72,F,70+,Elderly,20,,,,0
81,46,F,45-49,Middle,21,,,,0
82,53,F,50-54,Senior,22,,,,0
83,55,F,50-54,Senior,23,,,,0
84,66,M,65-69,Elderly,24,,,,0
85,67,F,65-69,Elderly,25,,,,0
86,42,F,40-44,Middle,26,,,,0
87,55,M,50-54,Senior,27,,,,0
88,58,F,55-59,Senior,28,,,,0
89,47,F,45-49,Middle,29,,,,0
90,46,M,45-49,Middle,30,,,,0
91,33,M,30-34,Young,1,,,,0
92,20,F,Under 20,Young,2,,,,0
93,37,M,35-39,Middle,3,,,,0
94,53,M,50-54,Senior,4,,,,0
95,60,F,55-59,Senior,5,,,,0
96,45,F,40-44,Middle,6,,,,0
97,38,M,35-39,Middle,7,,,,0
98,50,M,45-49,Middle,8,,,,0
99,50,M,45-49,Middle,9,,,,0
100,38,M,35-39,Middle,10,,,,0
101,32,F,30-34,Young,11,,,,0
102,74,F,70+,Elderly,12,,,,0
103,40,M,35-39,Middle,13,,,,0
104,47,F,45-49,Middle,14,,,,0
105,65,F,60-64,Senior,15,,,,0
106,65,F,60-64,Senior,16,,,,0
107,56,M,55-59,Senior,17,,,,0
108,39,M,35-39,Middle,18,,,,0
109,69,F,65-69,Elderly,19,,,,0
110,47,M,45-49,Middle,20,,,,0
111,25,F,20-24,Young,21,,,,0
112,36,F,35-39,Middle,22,,,,0
113,20,F,Under 20,Young,23,,,,0
114,57,F,55-59,Senior,24,,,,0
115,50,F,45-49,Middle,25,,,,0
116,53,F,50-54,Senior,26,,,,0
117,54,F,50-54,Senior,27,,,,0
118,65,F,60-64,Senior,28,,,,0
119,40,M,35-39,Middle,29,,,,0
120,59,M,55-59,Senior,30,,,,0
121,44,M,40-44,Middle,1,,,,0
122,52,F,50-54,Senior,2,,,,0
123,61,F,60-64,Senior,3,,,,0
124,47,F,45-49,Middle,4,,,,0
125,59,F,55-59,Senior,5,,,,0
126,60,F,55-59,Senior,6,,,,0
127,39,M,35-39,Middle,7,,,,0
128,40,F,35-39,Middle,8,,,,0
129,83,M,70+,Elderly,9,,,,0
130,39,M,35-39,Middle,10,,,,0
131,67,M,65-69,Elderly,11,,,,0
132,41,M,40-44,Middle,12,,,,0
133,44,F,40-44,Middle,13,,,,0
134,61,F,60-64,Senior,14,,,,0
135,54,F,50-54,Senior,15,,,,0
136,45,F,40-44,Middle,16,,,,0
137,60,F,55-59,Senior,17,,,,0
138,36,F,35-39,Middle,18,,,,0
139,55,F,50-54,Senior,19,,,,0
140,48,F,45-49,Middle,20,,,,0
141,51,M,50-54,Senior,21,,,,0
142,66,M,65-69,Elderly,22,,,,0
143,55,M,50-54,Senior,23,,,,0
144,57,F,55-59,Senior,24,,,,0
145,39,M,35-39,Middle,25,,,,0
146,55,F,50-54,Senior,26,,,,0
147,26,F,25-29,Young,27,,,,0
148,61,F,60-64,Senior,28,,,,0
149,44,F,40-44,Middle,29,,,,0
150,60,M,55-59,Senior,30,,,,0
151,67,F,65-69,Elderly,1,,,,0
152,68,M,65-69,Elderly,2,,,,0
153,49,F,45-49,Middle,3,,,,0
154,30,F,25-29,Young,4,,,,0
155,56,F,55-59,Senior,5,,,,0
156,46,M,45-49,Middle,6,,,,0
157,57,F,55-59,Senior,7,,,,0
158,74,F,70+,Elderly,8,,,,0
159,32,F,30-34,Young,9,,,,0
160,63,M,60-64,Senior,10,,,,0
161,24,F,20-24,Young,11,,,,0
162,58,F,55-59,Senior,12,,,,0
