row_type,prefecture,municipality,category1,category2,category3,applicant_count,avg_age,male_count,female_count,avg_qualifications,latitude,longitude,count,avg_desired_areas,employment_rate,national_license_rate,has_national_license,avg_mobility_score,total_in_municipality,market_share_pct,avg_urgency_score,inflow,outflow,net_flow,demand_count,supply_count,gap,demand_supply_ratio,rarity_score,total_applicants,top_age_ratio,female_ratio,male_ratio,top_employment_ratio,avg_qualification_count
AGE_GENDER,三重県,,30代,男性,,,38.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,,40代,女性,,,41.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,,40代,男性,,,44.5,,,,,,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,いなべ市,30代,女性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,いなべ市,40代,女性,,,47.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,亀山市,30代,女性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,亀山市,40代,女性,,,47.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,亀山市,60代,女性,,,60.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,伊勢市,30代,女性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,伊賀市,30代,女性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,伊賀市,30代,男性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,伊賀市,40代,女性,,,46.0,,,,,,3.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,伊賀市,60代,女性,,,60.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,北牟婁郡紀北町,30代,女性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,名張市,30代,男性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,名張市,40代,女性,,,47.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,名張市,60代,女性,,,63.0,,,,,,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,員弁郡東員町,20代,女性,,,22.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,四日市市,20代,女性,,,29.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,四日市市,30代,女性,,,31.0,,,,,,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,四日市市,30代,男性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,四日市市,40代,女性,,,47.0,,,,,,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,四日市市,50代,男性,,,55.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,四日市市,60代,女性,,,66.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
AGE_GENDER,三重県,多気郡多気町,30代,女性,,,30.0,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
