canonical,display,family,national,synonyms
介護福祉士,介護福祉士,,,介護福祉士
介護職員実務者研修(旧ヘルパー1級,介護職員実務者研修(旧ヘルパー1級,,,介護職員実務者研修(旧ヘルパー1級
基礎研修),基礎研修),,,基礎研修)
自動車運転免許,自動車運転免許,,,自動車運転免許
福祉用具専門相談員,福祉用具専門相談員,,,福祉用具専門相談員
介護職員初任者研修(旧ヘルパー2級),介護職員初任者研修(旧ヘルパー2級),,,介護職員初任者研修(旧ヘルパー2級)
基礎研修)_取得予定(1年以内),基礎研修) 取得予定(1年以内),,,基礎研修) 取得予定(1年以内)
小学校教諭,小学校教諭,,,小学校教諭
看護師,看護師,,,看護師
nan,nan,,,nan
社会福祉士,社会福祉士,,,社会福祉士
サービス管理責任者研修,サービス管理責任者研修,,,サービス管理責任者研修
相談支援従事者研修,相談支援従事者研修,,,相談支援従事者研修
中学校教諭,中学校教諭,,,中学校教諭
高等学校教諭,高等学校教諭,,,高等学校教諭
社会福祉主事任用資格,社会福祉主事任用資格,,,社会福祉主事任用資格
保育士,保育士,,,保育士
福祉用具専門相談員_取得予定(1年以内),福祉用具専門相談員 取得予定(1年以内),,,福祉用具専門相談員 取得予定(1年以内)
介護支援専門員(ケアマネジャー),介護支援専門員(ケアマネジャー),,,介護支援専門員(ケアマネジャー)
主任介護支援専門員,主任介護支援専門員,,,主任介護支援専門員
歯科技工士,歯科技工士,,,歯科技工士
准看護師,准看護師,,,准看護師
児童指導員任用資格,児童指導員任用資格,,,児童指導員任用資格
栄養士,栄養士,,,栄養士
介護職員初任者研修(旧ヘルパー2級)_取得予定(1年以内),介護職員初任者研修(旧ヘルパー2級) 取得予定(1年以内),,,介護職員初任者研修(旧ヘルパー2級) 取得予定(1年以内)
自動車運転免許_取得予定(1年以内),自動車運転免許 取得予定(1年以内),,,自動車運転免許 取得予定(1年以内)
歯科衛生士,歯科衛生士,,,歯科衛生士
登録販売者,登録販売者,,,登録販売者
医療事務資格(民間),医療事務資格(民間),,,医療事務資格(民間)
歯科助手資格(民間),歯科助手資格(民間),,,歯科助手資格(民間)
相談支援専門員,相談支援専門員,,,相談支援専門員
精神保健福祉士,精神保健福祉士,,,精神保健福祉士
介護福祉士_取得予定(1年以内),介護福祉士 取得予定(1年以内),,,介護福祉士 取得予定(1年以内)
調剤事務資格(民間),調剤事務資格(民間),,,調剤事務資格(民間)
介護事務資格(民間),介護事務資格(民間),,,介護事務資格(民間)
理学療法士,理学療法士,,,理学療法士
社会福祉士_取得予定(1年以内),社会福祉士 取得予定(1年以内),,,社会福祉士 取得予定(1年以内)
精神保健福祉士_取得予定(1年以内),精神保健福祉士 取得予定(1年以内),,,精神保健福祉士 取得予定(1年以内)
サービス管理責任者研修_取得予定(1年以内),サービス管理責任者研修 取得予定(1年以内),,,サービス管理責任者研修 取得予定(1年以内)
児童指導員任用資格_取得予定(1年以内),児童指導員任用資格 取得予定(1年以内),,,児童指導員任用資格 取得予定(1年以内)
放課後児童支援員認定資格,放課後児童支援員認定資格,,,放課後児童支援員認定資格
介護事務資格(民間)_取得予定(1年以内),介護事務資格(民間) 取得予定(1年以内),,,介護事務資格(民間) 取得予定(1年以内)
カイロプラクター,カイロプラクター,,,カイロプラクター
リフレクソロジスト,リフレクソロジスト,,,リフレクソロジスト
アロマセラピスト,アロマセラピスト,,,アロマセラピスト
幼稚園教諭,幼稚園教諭,,,幼稚園教諭
言語聴覚士,言語聴覚士,,,言語聴覚士
柔道整復師,柔道整復師,,,柔道整復師
鍼灸師,鍼灸師,,,鍼灸師
整体師,整体師,,,整体師
児童発達支援管理責任者研修,児童発達支援管理責任者研修,,,児童発達支援管理責任者研修
調理師,調理師,,,調理師
あん摩マッサージ指圧師,あん摩マッサージ指圧師,,,あん摩マッサージ指圧師
介護支援専門員(ケアマネジャー)_取得予定(1年以内),介護支援専門員(ケアマネジャー) 取得予定(1年以内),,,介護支援専門員(ケアマネジャー) 取得予定(1年以内)
保育士_取得予定(1年以内),保育士 取得予定(1年以内),,,保育士 取得予定(1年以内)
ネイリスト資格(民間),ネイリスト資格(民間),,,ネイリスト資格(民間)
美容師,美容師,,,美容師
作業療法士,作業療法士,,,作業療法士
公認心理師,公認心理師,,,公認心理師
管理栄養士,管理栄養士,,,管理栄養士
臨床検査技師,臨床検査技師,,,臨床検査技師
社会福祉主事任用資格_取得予定(1年以内),社会福祉主事任用資格 取得予定(1年以内),,,社会福祉主事任用資格 取得予定(1年以内)
医療事務資格(民間)_取得予定(1年以内),医療事務資格(民間) 取得予定(1年以内),,,医療事務資格(民間) 取得予定(1年以内)
