token,count
nan,5224
(高等学校),172
(大学),45
(短期大学),41
(その他),37
普通科(高等学校),32
(専門学校),31
普通科(高等学校)(1990年3月卒業),14
普通科(高等学校)(1991年3月卒業),9
普通科(高等学校)(1983年3月卒業),9
商業科(高等学校),9
普通科(高等学校)(1988年3月卒業),8
普通科(高等学校)(2009年3月卒業),6
普通科,6
(高等学校)(1998年3月卒業),6
普通科(高等学校)(2015年3月卒業),6
(高等専門学校),5
(高等学校)(1984年3月卒業),5
普通科(高等学校)(1989年3月卒業),4
普通科(高等学校)(2013年3月卒業),4
普通科(高等学校)(1994年3月卒業),4
普通科(高等学校)(1976年3月卒業),4
普通科(高等学校)(2001年3月卒業),4
(高等学校)(1993年3月卒業),4
普通科(高等学校)(1998年3月卒業),4
普通科(高等学校)(1986年3月卒業),4
(高等学校)(2002年3月卒業),4
普通(高等学校),4
普通科(高等学校)(2021年3月卒業),4
(高等学校)(2004年3月卒業),4
(高等学校)(1979年3月卒業),4
普通科(高等学校)(2002年3月卒業),4
(高等学校)(2018年3月卒業),4
普通科(1982年3月卒業),4
普通科(高等学校)(1984年3月卒業),4
普通科(高等学校)(2000年3月卒業),4
商業科(高等学校)(1986年3月卒業),4
商業科(高等学校)(1993年3月卒業),4
普通科(高等学校)(1981年3月卒業),3
(高等学校)(2013年3月卒業),3
普通科(高等学校)(1987年3月卒業),3
普通科(高等学校)(2006年3月卒業),3
普通科(高等学校)(1996年3月卒業),3
介護福祉科(専門学校)(2000年3月卒業),3
普通科(高等学校)(1978年3月卒業),3
商業科(高等学校)(1981年3月卒業),3
(高等学校)(1986年3月卒業),3
普通科(高等学校)(2003年3月卒業),3
(専門学校)(2017年3月卒業),3
介護福祉科(専門学校)(2013年3月卒業),3
普通科(高等学校)(1997年3月卒業),3
普通科(高等学校)(2018年3月卒業),3
社会福祉学部社会福祉学科(大学),3
家政科(高等学校)(1976年3月卒業),3
(高等学校)(1996年3月卒業),3
(高等学校)(1992年3月卒業),3
商業科(高等学校)(1990年3月卒業),3
(高等学校)(1990年3月卒業),3
普通科(高等学校)(1977年3月卒業),3
普通科(高等学校)(1973年3月卒業),3
普通科(高等学校)(1985年3月卒業),3
(高等学校)(2011年3月卒業),3
普通科(高等学校)(2020年3月卒業),3
看護学科(専門学校),3
(高等学校)(1987年3月卒業),3
普通科(高等学校)(1980年3月卒業),3
(専門学校)(2010年3月卒業),3
普通科(高等学校)(2017年3月卒業),3
(高等学校)(2000年3月卒業),3
(専門学校)(1992年3月卒業),2
(大学)(1998年3月卒業),2
通信教育部社会福祉科(大学),2
経営学部経営学科金融論(大学)(1982年3月卒業),2
(高等学校)(1976年3月卒業),2
(短期大学)(1995年3月卒業),2
商業科(高等学校)(1988年3月卒業),2
(専門学校)(1997年3月卒業),2
社会福祉学科,2
経営学部経営学科(大学)(1984年3月卒業),2
(高等学校)(2016年3月卒業),2
経済学部経済学科(大学)(1988年3月卒業),2
社会福祉学部社会福祉学科(大学)(1997年3月卒業),2
(専門学校)(1990年3月卒業),2
(大学)(2003年3月卒業),2
商業科(高等学校)(1995年3月卒業),2
経済学部経済学科(大学)(1982年3月卒業),2
普通科(高等学校)(1992年3月卒業),2
(高等学校)(1997年3月卒業),2
普通科(高等学校)(2004年3月卒業),2
(高等学校)(1989年3月卒業),2
(その他)(1984年3月卒業),2
(専門学校)(1994年3月卒業),2
看護学科,2
普通科(高等学校)(1968年3月卒業),2
法学部法律学科(大学)(2004年3月卒業),2
(高等学校)(1994年3月卒業),2
商業科(1993年3月卒業),2
(1986年3月卒業),2
普通科(1986年3月卒業),2
(専門学校)(2008年3月卒業),2
(短期大学)(2000年3月卒業),2
経済学部経済学科(大学)(1998年3月卒業),2
(その他)(1989年3月卒業),2
経営学部経営学科経営(大学)(2002年3月卒業),2
経済学部経済学科アメリカ経済(大学)(1994年3月卒業),2
(高等学校)(1983年3月卒業),2
商業科(高等学校)(1983年3月卒業),2
普通科(高等学校)(1979年3月卒業),2
文学部(大学)(2014年3月卒業),2
(高等学校)(2024年3月卒業),2
(大学)(2021年3月卒業),2
商業科(高等学校)(1973年3月卒業),2
文学部(大学),2
看護学科(専門学校)(2018年3月卒業),2
(大学)(2019年3月卒業),2
商業科(高等学校)(1984年3月卒業),2
介護福祉科(専門学校)(2003年3月卒業),2
(その他)(1985年3月卒業),2
(大学院(修士)),2
(高等学校)(1995年3月卒業),2
保育科(高等学校),2
商業科(高等学校)(1978年3月卒業),2
家政科(高等学校),2
普通科(1979年3月卒業),2
社会福祉学部社会福祉学科(大学)(2016年3月卒業),2
介護福祉科(専門学校)(1999年3月卒業),2
(高等学校)(2001年3月卒業),2
(高等学校)(2009年3月卒業),2
法学部法政策学科(大学)(2013年3月卒業),2
普通科なし(高等学校)(1992年3月卒業),2
法学部(大学),2
普通科(高等学校)(2008年3月卒業),2
社会福祉学部・社会福祉学科(大学),2
(1971年3月卒業),2
普通科(高等学校)(2012年3月卒業),2
(高等学校)(2015年3月卒業),2
(高等学校)(1981年3月卒業),2
経済学部経済学科(大学)(1985年3月卒業),2
普通(高等学校)(2001年3月卒業),2
(その他)(2010年3月卒業),2
商業科(高等学校)(1989年3月卒業),2
普通(高等学校)(1996年3月卒業),2
(大学)(2012年3月卒業),2
(その他)(2016年3月卒業),2
(その他)(1970年3月卒業),2
(高等学校)(2019年3月卒業),2
普通科(1980年3月卒業),2
(その他)(1978年3月卒業),2
