token,count
自動車運転免許,2961
nan,2275
介護福祉士,2176
介護職員初任者研修(旧ヘルパー2級),2134
介護職員実務者研修(旧ヘルパー1級,1092
基礎研修),1025
社会福祉主事任用資格,253
介護支援専門員(ケアマネジャー),215
社会福祉士,106
看護師,93
保育士,87
准看護師,78
基礎研修) 取得予定(1年以内),67
医療事務資格(民間),66
介護職員初任者研修(旧ヘルパー2級) 取得予定(1年以内),63
自動車運転免許 取得予定(1年以内),62
調理師,56
サービス管理責任者研修,51
介護福祉士 取得予定(1年以内),50
福祉用具専門相談員,41
児童指導員任用資格,34
幼稚園教諭,34
高等学校教諭,32
中学校教諭,30
精神保健福祉士,25
介護事務資格(民間),22
栄養士,21
児童発達支援管理責任者研修,21
相談支援従事者研修,20
調剤事務資格(民間),18
小学校教諭,16
美容師,16
理学療法士,15
介護支援専門員(ケアマネジャー) 取得予定(1年以内),15
登録販売者,13
アロマセラピスト,13
歯科助手資格(民間),12
社会福祉士 取得予定(1年以内),12
歯科衛生士,11
福祉用具専門相談員 取得予定(1年以内),10
主任介護支援専門員,10
整体師,10
柔道整復師,9
鍼灸師,9
ネイリスト資格(民間),8
リフレクソロジスト,7
あん摩マッサージ指圧師,6
臨床検査技師,6
放課後児童支援員認定資格,5
言語聴覚士,5
作業療法士,5
公認心理師,5
管理栄養士,5
歯科技工士,4
保育士 取得予定(1年以内),4
社会福祉主事任用資格 取得予定(1年以内),4
医療事務資格(民間) 取得予定(1年以内),4
相談支援専門員,3
精神保健福祉士 取得予定(1年以内),3
サービス管理責任者研修 取得予定(1年以内),3
児童指導員任用資格 取得予定(1年以内),3
介護事務資格(民間) 取得予定(1年以内),3
カイロプラクター,3
養護教諭,2
リフレクソロジスト 取得予定(1年以内),2
放課後児童支援員認定資格 取得予定(1年以内),2
サービス管理責任者,2
薬剤師,2
保健師,2
理容師,2
実践)),1
歯科医師,1
追加)),1
言語聴覚士 取得予定(1年以内),1
管理栄養士 取得予定(1年以内),1
セルフケア)),1
ネイリスト資格(民間) 取得予定(1年以内),1
実践研修),1
五段),1
プランニング技能士(国家資格)),1
放課後児童支援員,1
学童指導員,1
児童指導員,1
追加課程終了),1
医師,1
基礎,1
実践),1
理容師 取得予定(1年以内),1
臨床心理士,1
主任相談支援専門員,1
理学療法士 取得予定(1年以内),1
電卓実務2級),1
追加課程),1
認知症ケアサポート,1
ユマニチュード講習),1
児童発達支援管理責任者,1
調理師 取得予定(1年以内),1
喀痰吸引),1
エクセル)スペシャリスト,1
エキスパート),1
臨床心理士 取得予定(1年以内),1
公認心理師 取得予定(1年以内),1
作業療法士 取得予定(1年以内),1
薬剤師 取得予定(1年以内),1
柔道整復師 取得予定(1年以内),1
整体師 取得予定(1年以内),1
カイロプラクター 取得予定(1年以内),1
簿記),1
調剤事務資格(民間) 取得予定(1年以内),1
看護師 取得予定(1年以内),1
ワード)),1
漢字検定2級),1
エクセル,1
パワーポイント),1
二級),1
3A研修修了),1
MR認定資格,1
イメージコンサルタント),1
栄養士 取得予定(1年以内),1
excel2013スペシャリスト),1
小学校教諭 取得予定(1年以内),1
